Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;
0;2.85468;-0.342859;-1112.05;-17.8972;20.0082;-0.00196457;-1.30595e-005;-1168.36;-14.3972;-1042.25;-14.3972;
0.0100017;5.09684;-0.229363;-1112.01;-17.8972;20.1328;-0.00825381;-0.000533952;-1168.36;-14.3972;-1042.25;-14.3972;
0.0200033;5.55107;-0.184581;-1111.96;-17.8972;20.3296;-0.0149619;-0.00208706;-1168.36;-14.3972;-1042.25;-14.3972;
0.030005;5.57453;-0.165283;-1111.9;-17.8973;20.5301;-0.0203637;-0.00442287;-1168.36;-14.3972;-1042.25;-14.3972;
0.0400066;5.54808;-0.149652;-1111.84;-17.8973;20.7315;-0.0250004;-0.00733126;-1168.36;-14.3972;-1042.25;-14.3972;
0.0500083;5.49735;-0.135107;-1111.78;-17.8974;20.9307;-0.0289367;-0.0106627;-1168.36;-14.3972;-1042.25;-14.3972;
0.0600099;4.84994;-0.133167;-1111.73;-17.8975;21.1209;-0.0323339;-0.0143662;-1168.36;-14.3972;-1042.25;-14.3972;
0.0700116;1.89453;-0.12368;-1111.67;-17.8976;21.2385;-0.0356568;-0.0183814;-1168.36;-14.3972;-1042.25;-14.3972;
0.0800132;0.110823;-0.080807;-1111.61;-17.8978;21.2655;-0.0377518;-0.0227036;-1168.36;-14.3972;-1042.25;-14.3972;
0.0900149;-0.323718;-0.0481352;-1111.55;-17.8979;21.2595;-0.0383506;-0.0272604;-1168.36;-14.3972;-1042.25;-14.3972;
0.100017;-0.410086;-0.0298839;-1111.49;-17.898;21.2454;-0.0379188;-0.0320122;-1168.36;-14.3972;-1042.25;-14.3972;
0.110018;-0.422717;-0.0204631;-1111.43;-17.8982;21.2298;-0.0369391;-0.0369175;-1168.36;-14.3972;-1042.25;-14.3972;
0.12002;-0.41397;-0.0177123;-1111.37;-17.8983;21.215;-0.0357842;-0.0416579;-1168.36;-14.3972;-1042.25;-14.3972;
0.130021;-0.406893;-0.0197249;-1111.31;-17.8984;21.2001;-0.034553;-0.0466323;-1168.36;-14.3972;-1042.25;-14.3972;
0.140023;-0.410235;-0.0262488;-1111.26;-17.8986;21.1853;-0.0334813;-0.0516491;-1168.36;-14.3972;-1042.25;-14.3972;
0.150025;-0.417924;-0.0320627;-1111.19;-17.8987;21.1694;-0.032551;-0.0570339;-1168.36;-14.3972;-1042.25;-14.3972;
0.160026;-0.426222;-0.0372145;-1111.14;-17.8989;21.154;-0.0318472;-0.0621875;-1168.36;-14.3972;-1042.25;-14.3972;
0.170028;-0.432511;-0.0414669;-1111.08;-17.8991;21.1383;-0.0312947;-0.0674015;-1168.34;-14.3972;-1042.23;-14.3972;
0.18003;-0.436099;-0.0452248;-1111.02;-17.8992;21.1235;-0.0309218;-0.0723058;-1168.28;-14.3971;-1042.17;-14.3971;
0.190031;-0.442125;-0.0495294;-1110.96;-17.8994;21.1072;-0.0306666;-0.0776407;-1168.22;-14.3971;-1042.11;-14.3971;
0.200033;-0.448722;-0.0566866;-1110.9;-17.8995;21.0918;-0.0306057;-0.0826328;-1168.16;-14.3971;-1042.05;-14.3971;
0.210035;-0.455138;-0.0622439;-1110.84;-17.8997;21.0754;-0.0308003;-0.0878432;-1168.1;-14.3971;-1041.99;-14.3971;
0.220036;-0.459552;-0.0669406;-1110.79;-17.8999;21.0592;-0.0312004;-0.0929549;-1168.04;-14.3971;-1041.93;-14.3971;
0.230038;-0.462832;-0.0724703;-1110.73;-17.9001;21.0426;-0.0318087;-0.0981475;-1167.98;-14.3971;-1041.88;-14.3971;
0.24004;-0.467522;-0.0780777;-1110.67;-17.9003;21.0255;-0.0326442;-0.103477;-1167.93;-14.397;-1041.82;-14.397;
0.250041;-0.473431;-0.0830292;-1110.61;-17.9005;21.0092;-0.0336117;-0.108482;-1167.87;-14.397;-1041.76;-14.397;
0.260043;-0.480498;-0.0876065;-1110.55;-17.9007;20.9916;-0.0348406;-0.113792;-1167.81;-14.397;-1041.7;-14.397;
0.270045;-0.486338;-0.0915291;-1110.49;-17.9009;20.9741;-0.0362084;-0.118995;-1167.75;-14.397;-1041.64;-14.397;
0.280046;-0.491897;-0.0948686;-1110.43;-17.9011;20.9566;-0.0376971;-0.124153;-1167.69;-14.397;-1041.58;-14.3969;
0.290048;-0.498037;-0.0973071;-1110.38;-17.9014;20.9393;-0.039259;-0.129211;-1167.63;-14.3969;-1041.52;-14.3969;
0.30005;-0.503639;-0.0988121;-1110.32;-17.9016;20.9214;-0.0409218;-0.134349;-1167.58;-14.3969;-1041.47;-14.3969;
0.310051;-0.508568;-0.0993167;-1110.26;-17.9019;20.9031;-0.042644;-0.139563;-1167.52;-14.3969;-1041.41;-14.3969;
0.320053;-0.512677;-0.0989474;-1110.2;-17.9021;20.8848;-0.0443521;-0.14474;-1167.46;-14.3969;-1041.35;-14.3968;
0.330055;-0.515938;-0.0977025;-1110.14;-17.9024;20.8664;-0.046026;-0.149911;-1167.4;-14.3968;-1041.29;-14.3968;
0.340056;-0.518274;-0.0955477;-1110.09;-17.9027;20.8481;-0.0476067;-0.155012;-1167.34;-14.3968;-1041.23;-14.3968;
0.350058;-0.519739;-0.0924529;-1110.03;-17.903;20.8293;-0.0491318;-0.160278;-1167.28;-14.3968;-1041.18;-14.3967;
0.360059;-0.52055;-0.0898545;-1109.97;-17.9033;20.8106;-0.0505205;-0.165492;-1167.23;-14.3967;-1041.12;-14.3967;
0.370061;-0.520661;-0.0852393;-1109.91;-17.9036;20.7918;-0.0517962;-0.170733;-1167.17;-14.3967;-1041.06;-14.3967;
0.380063;-0.520176;-0.0794811;-1109.85;-17.9039;20.7733;-0.0528504;-0.175917;-1167.11;-14.3967;-1041;-14.3966;
0.390064;-0.519299;-0.073615;-1109.8;-17.9043;20.7546;-0.0536968;-0.181175;-1167.05;-14.3966;-1040.95;-14.3966;
0.400066;-0.518242;-0.0677253;-1109.74;-17.9046;20.7359;-0.0543362;-0.186447;-1167;-14.3966;-1040.89;-14.3966;
0.410068;-0.516512;-0.0616174;-1109.68;-17.9049;20.7174;-0.0547644;-0.191715;-1166.94;-14.3966;-1040.83;-14.3965;
