Time(s),Value(bpm)
1456.0066116,85
1456.1316116,85
1456.2566116,85
1456.3816116,88
1456.5066116,88
1456.6316116,88
1456.7566116,88
1456.8816116,88
1457.0066116,88
1457.1316116,88
1457.2566116,88
1457.3816116,88
1457.5066116,88
1457.6316116,88
1457.7566116,88
1457.8816116,88
1458.0066116,88
1458.1316116,88
1458.2566116,88
1458.3816116,87
1458.5066116,87
1458.6316116,87
1458.7566116,87
1458.8816116,87
1459.0066116,87
1459.1316116,87
1459.2566116,87
1459.3816116,87
1459.5066116,87
1459.6316116,87
1459.7566116,87
1459.8816116,87
1460.0066116,87
1460.1316116,87
1460.2566116,0
1460.3816116,0
1460.5066116,87
1460.6316116,87
1460.7566116,87
1460.8816116,0
1461.0066116,0
1461.1316116,0
1461.2566116,0
1461.3816116,0
1461.5066116,0
1461.6316116,0
1461.7566116,0
1461.8816116,0
1462.0066116,0
1462.1316116,0
1462.2566116,0
1462.3816116,0
1462.5066116,0
1462.6316116,0
1462.7566116,0
1462.8816116,0
1463.0066116,0
1463.1316116,0
1463.2566116,0
1463.3816116,0
1463.5066116,0
1463.6316116,0
1463.7566116,0
1463.8816116,0
1464.0066116,0
1464.1316116,0
1464.2566116,0
1464.3816116,0
1464.5066116,0
1464.6316116,0
1464.7566116,0
1464.8816116,0
1465.0066116,0
1465.1316116,0
1465.2566116,0
1465.3816116,0
1465.5066116,0
1465.6316116,0
1465.7566116,0
1465.8816116,0
1466.0066116,0
1466.1316116,0
1466.2566116,0
1466.3816116,0
1466.5066116,0
1466.6316116,0
1466.7566116,0
1466.8816116,0
1467.0066116,0
1467.1316116,0
1467.2566116,88
1467.3816116,88
1467.5066116,88
1467.6316116,88
1467.7566116,88
1467.8816116,88
1468.0066116,88
1468.1316116,88
1468.2566116,88
1468.3816116,88
1468.5066116,88
1468.6316116,88
1468.7566116,88
1468.8816116,88
1469.0066116,88
1469.1316116,88
1469.2566116,88
1469.3816116,88
1469.5066116,85
1469.6316116,85
1469.7566116,85
1469.8816116,85
1470.0066116,85
1470.1316116,85
1470.2566116,85
1470.3816116,85
1470.5066116,0
1470.6316116,0
1470.7566116,0
1470.8816116,0
1471.0066116,0
1471.1316116,0
1471.2566116,0
1471.3816116,0
1471.5066116,0
1471.6316116,0
1471.7566116,0
1471.8816116,0
1472.0066116,0
1472.1316116,0
1472.2566116,0
1472.3816116,0
1472.5066116,0
1472.6316116,0
1472.7566116,0
1472.8816116,0
1473.0066116,0
1473.1316116,0
1473.2566116,0
1473.3816116,0
1473.5066116,0
1473.6316116,0
1473.7566116,0
1473.8816116,0
1474.0066116,0
1474.1316116,0
1474.2566116,0
1474.3816116,0
1474.5066116,0
1474.6316116,0
1474.7566116,0
1474.8816116,0
1475.0066116,0
1475.1316116,0
1475.2566116,0
1475.3816116,0
1475.5066116,0
1475.6316116,0
1475.7566116,0
1475.8816116,0
1476.0066116,0
1476.1316116,0
1476.2566116,0
1476.3816116,0
1476.5066116,0
1476.6316116,0
1476.7566116,0
1476.8816116,0
1477.0066116,0
1477.1316116,0
1477.2566116,0
1477.3816116,89
1477.5066116,89
1477.6316116,89
1477.7566116,89
1477.8816116,89
1478.0066116,89
1478.1316116,89
1478.2566116,89
1478.3816116,89
1478.5066116,90
1478.6316116,0
1478.7566116,0
1478.8816116,0
1479.0066116,0
1479.1316116,0
1479.2566116,0
1479.3816116,0
1479.5066116,0
1479.6316116,0
1479.7566116,0
1479.8816116,0
1480.0066116,0
1480.1316116,0
1480.2566116,0
1480.3816116,0
1480.5066116,0
1480.6316116,0
1480.7566116,0
1480.8816116,0
1481.0066116,0
1481.1316116,0
1481.2566116,0
1481.3816116,0
1481.5066116,0
1481.6316116,0
1481.7566116,0
1481.8816116,0
1482.0066116,0
1482.1316116,0
1482.2566116,0
1482.3816116,0
1482.5066116,0
1482.6316116,0
1482.7566116,0
1482.8816116,0
1483.0066116,0
1483.1316116,0
1483.2566116,0
1483.3816116,0
1483.5066116,0
1483.6316116,0
1483.7566116,0
1483.8816116,0
1484.0066116,0
1484.1316116,0
1484.2566116,0
1484.3816116,0
1484.5066116,0
1484.6316116,0
1484.7566116,0
1484.8816116,0
1485.0066116,0
1485.1316116,0
1485.2566116,0
1485.3816116,0
1485.5066116,0
1485.6316116,0
1485.7566116,0
1485.8816116,0
1486.0066116,0
1486.1316116,0
1486.2566116,0
1486.3816116,0
1486.5066116,0
1486.6316116,0
1486.7566116,0
1486.8816116,0
1487.0066116,0
1487.1316116,0
1487.2566116,0
1487.3816116,0
1487.5066116,0
1487.6316116,0
1487.7566116,0
1487.8816116,0
