Time(s),Value(bpm)
827.0056241,93
827.1306241,93
827.2556241,93
827.3806241,93
827.5056241,93
827.6306241,93
827.7556241,91
827.8806241,91
828.0056241,91
828.1306241,91
828.2556241,91
828.3806241,91
828.5056241,91
828.6306241,91
828.7556241,90
828.8806241,90
829.0056241,90
829.1306241,90
829.2556241,90
829.3806241,90
829.5056241,90
829.6306241,90
829.7556241,90
829.8806241,90
830.0056241,90
830.1306241,90
830.2556241,90
830.3806241,90
830.5056241,90
830.6306241,90
830.7556241,90
830.8806241,0
831.0056241,0
831.1306241,0
831.2556241,0
831.3806241,0
831.5056241,0
831.6306241,0
831.7556241,0
831.8806241,0
832.0056241,0
832.1306241,0
832.2556241,0
832.3806241,0
832.5056241,0
832.6306241,0
832.7556241,0
832.8806241,0
833.0056241,0
833.1306241,0
833.2556241,0
833.3806241,0
833.5056241,0
833.6306241,0
833.7556241,0
833.8806241,0
834.0056241,0
834.1306241,0
834.2556241,0
834.3806241,0
834.5056241,0
834.6306241,0
834.7556241,0
834.8806241,0
835.0056241,0
835.1306241,0
835.2556241,0
835.3806241,0
835.5056241,0
835.6306241,0
835.7556241,0
835.8806241,0
836.0056241,0
836.1306241,0
836.2556241,0
836.3806241,0
836.5056241,0
836.6306241,0
836.7556241,0
836.8806241,0
837.0056241,0
837.1306241,0
837.2556241,0
837.3806241,0
837.5056241,0
837.6306241,0
837.7556241,0
837.8806241,0
838.0056241,0
838.1306241,0
838.2556241,0
838.3806241,0
838.5056241,0
838.6306241,0
838.7556241,0
838.8806241,0
839.0056241,0
839.1306241,0
839.2556241,0
839.3806241,0
839.5056241,0
839.6306241,0
839.7556241,0
839.8806241,0
840.0056241,0
840.1306241,0
840.2556241,0
840.3806241,0
840.5056241,0
840.6306241,0
840.7556241,0
840.8806241,0
841.0056241,0
841.1306241,0
841.2556241,0
841.3806241,0
841.5056241,0
841.6306241,0
841.7556241,0
841.8806241,0
842.0056241,0
842.1306241,0
842.2556241,0
842.3806241,0
842.5056241,0
842.6306241,0
842.7556241,0
842.8806241,0
843.0056241,0
843.1306241,0
843.2556241,0
843.3806241,0
843.5056241,0
843.6306241,0
843.7556241,0
843.8806241,0
844.0056241,0
844.1306241,0
844.2556241,0
844.3806241,0
844.5056241,0
844.6306241,0
844.7556241,0
844.8806241,0
845.0056241,0
845.1306241,0
845.2556241,0
845.3806241,0
845.5056241,0
845.6306241,0
845.7556241,0
845.8806241,0
846.0056241,0
846.1306241,0
846.2556241,0
846.3806241,0
846.5056241,0
846.6306241,0
846.7556241,0
846.8806241,0
847.0056241,0
847.1306241,0
847.2556241,0
847.3806241,0
847.5056241,0
847.6306241,0
847.7556241,0
847.8806241,0
848.0056241,0
848.1306241,0
848.2556241,0
848.3806241,0
848.5056241,0
848.6306241,0
848.7556241,0
848.8806241,0
849.0056241,0
849.1306241,0
849.2556241,0
849.3806241,0
849.5056241,0
849.6306241,0
849.7556241,0
849.8806241,0
