Time(s),Value(bpm)
1196.0083798,88
1196.1333798,88
1196.2583798,88
1196.3833798,88
1196.5083798,88
1196.6333798,88
1196.7583798,88
1196.8833798,88
1197.0083798,88
1197.1333798,88
1197.2583798,88
1197.3833798,88
1197.5083798,88
1197.6333798,88
1197.7583798,88
1197.8833798,88
1198.0083798,88
1198.1333798,88
1198.2583798,88
1198.3833798,88
1198.5083798,88
1198.6333798,88
1198.7583798,88
1198.8833798,88
1199.0083798,88
1199.1333798,88
1199.2583798,88
1199.3833798,88
1199.5083798,88
1199.6333798,88
1199.7583798,88
1199.8833798,88
1200.0083798,88
1200.1333798,87
1200.2583798,87
1200.3833798,87
1200.5083798,87
1200.6333798,87
1200.7583798,87
1200.8833798,87
1201.0083798,87
1201.1333798,87
1201.2583798,87
1201.3833798,87
1201.5083798,87
1201.6333798,87
1201.7583798,87
1201.8833798,87
1202.0083798,87
1202.1333798,87
1202.2583798,87
1202.3833798,87
1202.5083798,87
1202.6333798,87
1202.7583798,87
1202.8833798,87
1203.0083798,87
1203.1333798,87
1203.2583798,87
1203.3833798,87
1203.5083798,87
1203.6333798,87
1203.7583798,87
1203.8833798,87
1204.0083798,87
1204.1333798,87
1204.2583798,87
1204.3833798,87
1204.5083798,87
1204.6333798,87
1204.7583798,87
1204.8833798,87
1205.0083798,87
1205.1333798,87
1205.2583798,87
1205.3833798,87
1205.5083798,87
1205.6333798,87
1205.7583798,87
1205.8833798,87
1206.0083798,87
1206.1333798,87
1206.2583798,87
1206.3833798,87
1206.5083798,87
1206.6333798,87
1206.7583798,87
1206.8833798,87
1207.0083798,87
1207.1333798,87
1207.2583798,87
1207.3833798,87
1207.5083798,87
1207.6333798,87
1207.7583798,86
1207.8833798,86
1208.0083798,86
1208.1333798,86
1208.2583798,86
1208.3833798,86
1208.5083798,86
1208.6333798,86
1208.7583798,86
1208.8833798,86
1209.0083798,86
1209.1333798,86
1209.2583798,86
1209.3833798,86
1209.5083798,86
1209.6333798,86
1209.7583798,86
1209.8833798,86
1210.0083798,86
1210.1333798,86
1210.2583798,86
1210.3833798,85
1210.5083798,85
1210.6333798,85
1210.7583798,85
1210.8833798,85
1211.0083798,85
1211.1333798,85
1211.2583798,85
1211.3833798,85
1211.5083798,85
1211.6333798,85
1211.7583798,85
1211.8833798,85
1212.0083798,85
1212.1333798,85
1212.2583798,84
1212.3833798,84
1212.5083798,84
1212.6333798,84
1212.7583798,84
1212.8833798,84
1213.0083798,84
1213.1333798,84
1213.2583798,84
1213.3833798,84
1213.5083798,84
1213.6333798,84
1213.7583798,84
1213.8833798,84
1214.0083798,84
1214.1333798,84
1214.2583798,84
1214.3833798,84
1214.5083798,84
1214.6333798,85
1214.7583798,85
1214.8833798,85
1215.0083798,85
1215.1333798,85
1215.2583798,85
1215.3833798,85
1215.5083798,85
1215.6333798,85
1215.7583798,85
1215.8833798,85
1216.0083798,85
1216.1333798,85
1216.2583798,85
1216.3833798,85
1216.5083798,85
1216.6333798,85
1216.7583798,85
1216.8833798,85
1217.0083798,85
1217.1333798,85
1217.2583798,85
1217.3833798,85
1217.5083798,85
1217.6333798,85
1217.7583798,86
1217.8833798,86
