Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;
0;-0.247492;-0.188705;-20.9343;-1.75;79.9976;-0.00102288;-5.1904e-006;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0100023;0.410179;-0.17566;-20.8277;-1.75001;80.0057;-0.00383943;-0.000170582;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0200045;1.14778;-0.154106;-20.6055;-1.75003;80.0366;-0.00881381;-0.000838272;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0300068;1.36414;-0.140804;-20.3824;-1.75006;80.0828;-0.0123927;-0.00207086;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.040009;1.39718;-0.132323;-20.1596;-1.75011;80.1328;-0.0148424;-0.00381177;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0500113;1.40498;-0.126589;-19.9367;-1.75018;80.1833;-0.0164659;-0.00596791;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0600136;1.41348;-0.122932;-19.7134;-1.75025;80.2341;-0.0173953;-0.00850574;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0700158;1.42313;-0.120834;-19.4895;-1.75034;80.2853;-0.0176911;-0.0114209;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0800181;1.42772;-0.11995;-19.267;-1.75044;80.3364;-0.0174407;-0.0146609;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.0900204;1.41798;-0.119985;-19.0448;-1.75055;80.3874;-0.0167557;-0.0181891;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.100023;1.41384;-0.109489;-18.8204;-1.75068;80.4384;-0.0155407;-0.0220203;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.110025;1.37578;-0.113789;-18.5952;-1.75081;80.4889;-0.0137997;-0.026123;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.120027;1.16754;-0.117261;-18.3718;-1.75096;80.5337;-0.0118982;-0.03041;47.0342;-1.75;-52.6294;1.75;62.0337;-5.25;
0.130029;1.11064;-0.121006;-18.1468;-1.75112;80.5744;-0.00982219;-0.0349242;47.1554;-1.74998;-52.4628;1.75003;62.1549;-5.24998;
0.140032;1.09919;-0.125722;-17.9227;-1.75129;80.6139;-0.00764361;-0.0396002;47.3775;-1.74993;-52.1573;1.7501;62.377;-5.24993;
0.150034;1.09729;-0.141707;-17.6974;-1.75148;80.6534;-0.00575405;-0.044506;47.5997;-1.74989;-51.8519;1.75016;62.5992;-5.24989;
0.160036;1.09697;-0.145657;-17.473;-1.75168;80.6926;-0.00377457;-0.0495727;47.8219;-1.74984;-51.5464;1.75022;62.8214;-5.24984;
0.170038;1.08139;-0.150805;-17.2554;-1.75188;80.7306;-0.00181871;-0.0546226;48.044;-1.7498;-51.2409;1.75028;63.0435;-5.2498;
0.180041;0.901558;-0.155875;-17.024;-1.75212;80.767;0.000251822;-0.0601236;48.2659;-1.74975;-50.9359;1.75034;63.2654;-5.24975;
0.190043;0.849038;-0.160868;-16.8087;-1.75236;80.7966;0.002133;-0.0653465;48.4874;-1.74971;-50.6312;1.75039;63.4869;-5.24971;
0.200045;0.837182;-0.16633;-16.5844;-1.75262;80.8265;0.00400349;-0.070859;48.709;-1.74968;-50.3266;1.75043;63.7085;-5.24967;
0.210048;0.834766;-0.171816;-16.3602;-1.75289;80.8562;0.00575203;-0.0764199;48.9306;-1.74964;-50.0219;1.75048;63.9301;-5.24964;
0.22005;0.834646;-0.177207;-16.134;-1.75319;80.8861;0.00737248;-0.0820659;49.1522;-1.7496;-49.7172;1.75053;64.1517;-5.2496;
0.230052;0.830307;-0.182152;-15.9118;-1.7535;80.9154;0.00878613;-0.087633;49.3744;-1.74955;-49.4116;1.75058;64.3739;-5.24955;
0.240054;0.800916;-0.186759;-15.6829;-1.75383;80.945;0.0100794;-0.0933712;49.5972;-1.7495;-49.1053;1.75064;64.5967;-5.2495;
0.250057;0.782432;-0.191054;-15.4516;-1.75419;80.9738;0.0112129;-0.0991608;49.8199;-1.74945;-48.7991;1.7507;64.8194;-5.24945;
0.260059;0.778576;-0.194927;-15.2356;-1.75455;81.0004;0.0121195;-0.104553;50.0427;-1.7494;-48.4928;1.75076;65.0422;-5.24939;
0.270061;0.764709;-0.198796;-15.0104;-1.75494;81.0279;0.0128747;-0.110146;50.2655;-1.74934;-48.1865;1.75082;65.265;-5.24934;
0.280063;0.751918;-0.202374;-14.7869;-1.75534;81.0545;0.0134553;-0.115666;50.4882;-1.74929;-47.8802;1.75088;65.4877;-5.24928;
