Time(s),Value(μS)
1044.0008137,3.68499994277954
1044.0164387,3.68600010871887
1044.0320637,3.68499994277954
1044.0476887,3.68799996376038
1044.0633137,3.68700003623962
1044.0789387,3.68799996376038
1044.0945637,3.68799996376038
1044.1101887,3.68600010871887
1044.1258137,3.68499994277954
1044.1414387,3.68499994277954
1044.1570637,3.68499994277954
1044.1726887,3.68400001525879
1044.1883137,3.68600010871887
1044.2039387,3.68499994277954
1044.2195637,3.68400001525879
1044.2351887,3.68300008773804
1044.2508137,3.68300008773804
1044.2664387,3.68199992179871
1044.2820637,3.68199992179871
1044.2976887,3.68400001525879
1044.3133137,3.68300008773804
1044.3289387,3.68499994277954
1044.3445637,3.68400001525879
1044.3601887,3.68300008773804
1044.3758137,3.68300008773804
1044.3914387,3.68099999427795
1044.4070637,3.68099999427795
1044.4226887,3.6800000667572
1044.4383137,3.68199992179871
1044.4539387,3.68099999427795
1044.4695637,3.68199992179871
1044.4851887,3.68199992179871
1044.5008137,3.68099999427795
1044.5164387,3.6800000667572
1044.5320637,3.67899990081787
1044.5476887,3.67899990081787
1044.5633137,3.67899990081787
1044.5789387,3.68099999427795
1044.5945637,3.6800000667572
1044.6101887,3.68099999427795
1044.6258137,3.68099999427795
1044.6414387,3.67899990081787
1044.6570637,3.67799997329712
1044.6726887,3.67799997329712
1044.6883137,3.67799997329712
1044.7039387,3.67700004577637
1044.7195637,3.6800000667572
1044.7351887,3.67899990081787
1044.7508137,3.67799997329712
1044.7664387,3.67700004577637
1044.7820637,3.67600011825562
1044.7976887,3.67499995231628
1044.8133137,3.67400002479553
1044.8289387,3.67600011825562
1044.8445637,3.67499995231628
1044.8601887,3.67700004577637
1044.8758137,3.67700004577637
1044.8914387,3.67700004577637
1044.9070637,3.67600011825562
1044.9226887,3.67499995231628
1044.9383137,3.67400002479553
1044.9539387,3.67300009727478
1044.9695637,3.67400002479553
1044.9851887,3.67300009727478
1045.0008137,3.67300009727478
1045.0164387,3.67300009727478
1045.0320637,3.67199993133545
1045.0476887,3.6710000038147
1045.0633137,3.6710000038147
1045.0789387,3.67199993133545
1045.0945637,3.6710000038147
1045.1101887,3.67300009727478
1045.1258137,3.67300009727478
1045.1414387,3.67400002479553
1045.1570637,3.67300009727478
1045.1726887,3.67199993133545
1045.1883137,3.6710000038147
1045.2039387,3.67000007629395
1045.2195637,3.67000007629395
1045.2351887,3.66899991035461
1045.2508137,3.67000007629395
1045.2664387,3.67000007629395
1045.2820637,3.66799998283386
1045.2976887,3.66700005531311
1045.3133137,3.66599988937378
1045.3289387,3.66599988937378
1045.3445637,3.66499996185303
1045.3601887,3.66799998283386
1045.3758137,3.66700005531311
1045.3914387,3.67000007629395
1045.4070637,3.66899991035461
1045.4226887,3.66899991035461
1045.4383137,3.66899991035461
1045.4539387,3.66799998283386
1045.4695637,3.66700005531311
1045.4851887,3.66599988937378
1045.5008137,3.66700005531311
1045.5164387,3.66599988937378
1045.5320637,3.66599988937378
1045.5476887,3.66599988937378
1045.5633137,3.66499996185303
1045.5789387,3.66499996185303
1045.5945637,3.66400003433228
1045.6101887,3.66599988937378
1045.6258137,3.66499996185303
1045.6414387,3.66700005531311
1045.6570637,3.66700005531311
1045.6726887,3.66799998283386
1045.6883137,3.66799998283386
1045.7039387,3.66700005531311
1045.7195637,3.66599988937378
1045.7351887,3.66499996185303
1045.7508137,3.66499996185303
1045.7664387,3.66400003433228
1045.7820637,3.66599988937378
1045.7976887,3.66499996185303
1045.8133137,3.66400003433228
1045.8289387,3.66400003433228
1045.8445637,3.66199994087219
1045.8601887,3.66199994087219
1045.8758137,3.66100001335144
1045.8914387,3.66400003433228
1045.9070637,3.66400003433228
1045.9226887,3.66599988937378
1045.9383137,3.66599988937378
1045.9539387,3.66599988937378
1045.9695637,3.66599988937378
1045.9851887,3.66400003433228
1046.0008137,3.66300010681152
1046.0164387,3.66199994087219
1046.0320637,3.66300010681152
1046.0476887,3.66199994087219
1046.0633137,3.66499996185303
1046.0789387,3.66400003433228
1046.0945637,3.66300010681152
1046.1101887,3.66199994087219
1046.1258137,3.66100001335144
1046.1414387,3.66100001335144
1046.1570637,3.66000008583069
1046.1726887,3.66199994087219
1046.1883137,3.66199994087219
1046.2039387,3.66300010681152
1046.2195637,3.66300010681152
1046.2351887,3.66199994087219
1046.2508137,3.66100001335144
1046.2664387,3.66000008583069
1046.2820637,3.65899991989136
1046.2976887,3.65799999237061
1046.3133137,3.66000008583069
