Time(s),Value(μS)
0.0912853,0.822000026702881
0.1069103,0.824000000953674
0.1225353,0.824999988079071
0.1381603,0.825999975204468
0.1537853,0.827000021934509
0.1694103,0.828999996185303
0.1850353,0.829999983310699
0.2006603,0.830999970436096
0.2162853,0.832000017166138
0.2319103,0.833000004291534
0.2475353,0.834999978542328
0.2631603,0.836000025272369
0.2787853,0.836000025272369
0.2944103,0.837000012397766
0.3100353,0.837999999523163
0.3256603,0.83899998664856
0.3412853,0.839999973773956
0.3569103,0.841000020503998
0.3725353,0.842000007629395
0.3881603,0.842999994754791
0.4037853,0.843999981880188
0.4194103,0.845000028610229
0.4350353,0.846000015735626
0.4506603,0.846000015735626
0.4662853,0.847000002861023
0.4819103,0.848999977111816
0.4975353,0.850000023841858
0.5131603,0.851999998092651
0.5287853,0.855000019073486
0.5444103,0.85699999332428
0.5600353,0.859000027179718
0.5756603,0.861000001430511
0.5912853,0.862999975681305
0.6069103,0.865000009536743
0.6225353,0.86599999666214
0.6381603,0.867999970912933
0.6537853,0.869000017642975
0.6694103,0.870000004768372
0.6850353,0.870000004768372
0.7006603,0.870999991893768
0.7162853,0.871999979019165
0.7319103,0.871999979019165
0.7475353,0.873000025749207
0.7631603,0.873000025749207
0.7787853,0.873000025749207
0.7944103,0.874000012874603
0.8100353,0.874000012874603
0.8256603,0.875
0.8412853,0.875
0.8569103,0.875999987125397
0.8725353,0.875999987125397
0.8881603,0.875999987125397
0.9037853,0.875999987125397
0.9194103,0.875999987125397
0.9350353,0.875999987125397
0.9506603,0.875999987125397
0.9662853,0.875999987125397
0.9819103,0.875999987125397
0.9975353,0.875
1.0131603,0.875
1.0287853,0.875
1.0444103,0.875
1.0600353,0.875
1.0756603,0.875
1.0912853,0.875
1.1069103,0.875
1.1225353,0.875
1.1381603,0.875
1.1537853,0.875
1.1694103,0.874000012874603
1.1850353,0.874000012874603
1.2006603,0.874000012874603
1.2162853,0.874000012874603
1.2319103,0.873000025749207
1.2475353,0.873000025749207
1.2631603,0.873000025749207
1.2787853,0.871999979019165
1.2944103,0.871999979019165
1.3100353,0.870999991893768
1.3256603,0.870999991893768
1.3412853,0.870000004768372
1.3569103,0.870000004768372
