Time(s),Value(bpm)
18.0912853,47
18.2162853,47
18.3412853,47
18.4662853,47
18.5912853,47
18.7162853,47
18.8412853,47
18.9662853,47
19.0912853,47
19.2162853,47
19.3412853,47
19.4662853,44
19.5912853,44
19.7162853,44
19.8412853,44
19.9662853,44
20.0912853,47
20.2162853,47
20.3412853,47
20.4662853,47
20.5912853,47
20.7162853,47
20.8412853,47
20.9662853,68
21.0912853,68
21.2162853,68
21.3412853,68
21.4662853,68
21.5912853,68
21.7162853,68
21.8412853,68
21.9662853,91
22.0912853,91
22.2162853,91
22.3412853,91
22.4662853,91
22.5912853,91
22.7162853,91
22.8412853,91
22.9662853,91
23.0912853,91
23.2162853,91
23.3412853,91
23.4662853,91
23.5912853,91
23.7162853,72
23.8412853,72
23.9662853,72
24.0912853,72
24.2162853,72
24.3412853,72
24.4662853,75
24.5912853,75
24.7162853,75
24.8412853,75
24.9662853,75
25.0912853,75
25.2162853,75
25.3412853,75
25.4662853,75
25.5912853,75
25.7162853,75
25.8412853,75
25.9662853,75
26.0912853,75
26.2162853,75
26.3412853,75
26.4662853,75
26.5912853,75
26.7162853,75
26.8412853,75
26.9662853,75
27.0912853,75
27.2162853,75
27.3412853,75
27.4662853,75
27.5912853,75
27.7162853,75
27.8412853,75
27.9662853,75
28.0912853,75
28.2162853,75
28.3412853,75
28.4662853,75
28.5912853,75
28.7162853,75
28.8412853,75
28.9662853,75
29.0912853,75
29.2162853,75
29.3412853,75
29.4662853,75
29.5912853,75
29.7162853,75
29.8412853,75
29.9662853,75
30.0912853,75
30.2162853,75
30.3412853,75
30.4662853,75
30.5912853,75
30.7162853,75
30.8412853,75
30.9662853,98
31.0912853,98
31.2162853,98
31.3412853,98
31.4662853,98
31.5912853,93
31.7162853,93
31.8412853,93
31.9662853,93
32.0912853,93
32.2162853,96
32.3412853,96
32.4662853,96
32.5912853,96
32.7162853,96
32.8412853,96
32.9662853,96
33.0912853,96
33.2162853,96
33.3412853,96
33.4662853,96
33.5912853,96
33.7162853,96
33.8412853,96
33.9662853,96
34.0912853,96
34.2162853,96
34.3412853,96
34.4662853,96
34.5912853,96
34.7162853,96
34.8412853,96
34.9662853,96
35.0912853,96
35.2162853,96
35.3412853,96
35.4662853,96
35.5912853,96
35.7162853,96
35.8412853,96
35.9662853,96
36.0912853,96
36.2162853,96
36.3412853,96
36.4662853,96
36.5912853,96
36.7162853,96
36.8412853,96
36.9662853,96
37.0912853,96
37.2162853,96
37.3412853,96
37.4662853,96
37.5912853,96
37.7162853,96
37.8412853,96
37.9662853,96
38.0912853,96
38.2162853,96
38.3412853,96
38.4662853,96
38.5912853,96
38.7162853,96
38.8412853,96
38.9662853,96
39.0912853,96
39.2162853,96
39.3412853,96
39.4662853,96
39.5912853,96
39.7162853,96
39.8412853,96
39.9662853,96
40.0912853,96
40.2162853,96
40.3412853,96
40.4662853,96
40.5912853,96
40.7162853,96
