Recording,23121601
Subject,23121601
Create Time,2023-12-16 09:27:15.656
Data Name,Wrist6 SpO₂
Data Type,SpO2
Sample Rate,64Hz
Segment,完整记录
Start Time,00:00:00.0910000
End Time,00:11:21.8410000
Duration,00:11:21.7500000
