Time(s),Value(%)
1333.0066116,-26.9500007629395
1333.0222366,-29.6700000762939
1333.0378616,-30.8199996948242
1333.0534866,-30.6299991607666
1333.0691116,-29.7299995422363
1333.0847366,-28.9899997711182
1333.1003616,-29.0499992370605
1333.1159866,-30.1000003814697
1333.1316116,-31.8099994659424
1333.1472366,-33.560001373291
1333.1628616,-34.6599998474121
1333.1784866,-34.7000007629395
1333.1941116,-33.8300018310547
1333.2097366,-32.75
1333.2253616,-32.1500015258789
1333.2409866,-32.0499992370605
1333.2566116,-31.9599990844727
1333.2722366,-31.4500007629395
1333.2878616,-30.4099998474121
1333.3034866,-29.0699996948242
1333.3191116,-27.7199993133545
1333.3347366,-26.3500003814697
1333.3503616,-24.6599998474121
1333.3659866,-22.4599990844727
1333.3816116,-19.9799995422363
1333.3972366,-17.7900009155273
1333.4128616,-16.3500003814697
1333.4284866,-15.4499998092651
1333.4441116,-14.0200004577637
1333.4597366,-10.4099998474121
1333.4753616,-3.07999992370605
1333.4909866,8.32999992370605
1333.5066116,22.3799991607666
1333.5222366,36.1199989318848
1333.5378616,46.5800018310547
1333.5534866,52.5400009155273
1333.5691116,55.0200004577637
1333.5847366,56.2599983215332
1333.6003616,57.9799995422363
1333.6159866,60.3899993896484
1333.6316116,62.310001373291
1333.6472366,62.189998626709
1333.6628616,59.2400016784668
1333.6784866,53.7099990844727
1333.6941116,46.4799995422363
1333.7097366,38.4000015258789
1333.7253616,30.0100002288818
1333.7409866,21.5200004577637
1333.7566116,13.1999998092651
1333.7722366,5.67000007629395
1333.7878616,-0.370000004768372
1333.8034866,-4.86999988555908
1333.8191116,-8.42000007629395
1333.8347366,-11.6899995803833
1333.8503616,-14.9799995422363
1333.8659866,-18.1299991607666
1333.8816116,-20.7099990844727
1333.8972366,-22.4599990844727
1333.9128616,-23.6900005340576
1333.9284866,-25.1100006103516
1333.9441116,-27.2600002288818
1333.9597366,-30.1000003814697
1333.9753616,-33.1199989318848
1333.9909866,-35.5099983215332
1334.0066116,-36.4900016784668
1334.0222366,-35.5400009155273
1334.0378616,-32.5400009155273
1334.0534866,-27.7999992370605
1334.0691116,-22.3700008392334
1334.0847366,-17.9200000762939
1334.1003616,-15.8999996185303
1334.1159866,-16.5200004577637
1334.1316116,-18.7800006866455
1334.1472366,-21.2700004577637
1334.1628616,-23.0599994659424
1334.1784866,-24.0400009155273
1334.1941116,-24.5300006866455
1334.2097366,-24.6700000762939
1334.2253616,-24.0900001525879
1334.2409866,-22.1800003051758
1334.2566116,-18.6900005340576
1334.2722366,-13.6700000762939
1334.2878616,-7.03999996185303
1334.3034866,1.69000005722046
1334.3191116,12.8800001144409
1334.3347366,25.8899993896484
1334.3503616,39.0999984741211
1334.3659866,50.4099998474121
1334.3816116,58.1599998474121
1334.3972366,62.0099983215332
1334.4128616,62.8699989318848
1334.4284866,62.1300010681152
1334.4441116,60.939998626709
1334.4597366,60.0400009155273
1334.4753616,59.8899993896484
1334.4909866,60.2799987792969
1334.5066116,60.0499992370605
1334.5222366,57.1699981689453
1334.5378616,49.9099998474121
1334.5534866,38.2599983215332
1334.5691116,24.4099998474121
1334.5847366,11.6400003433228
1334.6003616,2.48000001907349
1334.6159866,-2.53999996185303
1334.6316116,-4.76999998092651
1334.6472366,-6.11999988555908
1334.6628616,-7.92999982833862
1334.6784866,-10.6099996566772
1334.6941116,-14.0
1334.7097366,-17.7199993133545
1334.7253616,-21.3299999237061
1334.7409866,-24.3299999237061
1334.7566116,-26.3700008392334
1334.7722366,-27.4300003051758
1334.7878616,-27.9699993133545
1334.8034866,-28.75
1334.8191116,-30.2700004577637
1334.8347366,-32.1800003051758
1334.8503616,-33.439998626709
1334.8659866,-32.9900016784668
1334.8816116,-30.6200008392334
1334.8972366,-27.0900001525879
1334.9128616,-23.5400009155273
1334.9284866,-20.8400001525879
1334.9441116,-19.3099994659424
1334.9597366,-18.9200000762939
1334.9753616,-19.2900009155273
1334.9909866,-19.7199993133545
1335.0066116,-19.3199996948242
1335.0222366,-17.7199993133545
1335.0378616,-15.539999961853
1335.0534866,-13.9300003051758
1335.0691116,-13.6999998092651
1335.0847366,-14.8000001907349
1335.1003616,-16.4599990844727
1335.1159866,-17.4799995422363
1335.1316116,-16.4599990844727
1335.1472366,-12.039999961853
1335.1628616,-3.4300000667572
1335.1784866,9.02999973297119
1335.1941116,23.5699996948242
1335.2097366,37.5400009155273
1335.2253616,48.7299995422363
1335.2409866,56.2400016784668
1335.2566116,60.3199996948242
1335.2722366,61.5699996948242
1335.2878616,60.6500015258789
1335.3034866,58.3699989318848
1335.3191116,55.560001373291
1335.3347366,52.7000007629395
1335.3503616,49.8600006103516
1335.3659866,46.6100006103516
1335.3816116,42.0
1335.3972366,35.310001373291
1335.4128616,27.0100002288818
1335.4284866,18.6399993896484
1335.4441116,11.6700000762939
1335.4597366,6.71000003814697
1335.4753616,3.6800000667572
1335.4909866,2.07999992370605
1335.5066116,1.04999995231628
1335.5222366,-0.230000004172325
1335.5378616,-2.19000005722046
1335.5534866,-4.78000020980835
1335.5691116,-7.8600001335144
1335.5847366,-11.3299999237061
1335.6003616,-14.8900003433228
1335.6159866,-17.9699993133545
1335.6316116,-20.0900001525879
1335.6472366,-21.0100002288818
1335.6628616,-20.8999996185303
1335.6784866,-20.3400001525879
1335.6941116,-20.0300006866455
1335.7097366,-20.3799991607666
1335.7253616,-21.4400005340576
1335.7409866,-22.9799995422363
1335.7566116,-24.5
1335.7722366,-25.4500007629395
1335.7878616,-25.5300006866455
1335.8034866,-24.8799991607666
1335.8191116,-24.1299991607666
1335.8347366,-23.9200000762939
1335.8503616,-24.3400001525879
1335.8659866,-24.8600006103516
1335.8816116,-24.4799995422363
1335.8972366,-22.4300003051758
1335.9128616,-18.8500003814697
1335.9284866,-14.9499998092651
1335.9441116,-12.0600004196167
1335.9597366,-10.5299997329712
1335.9753616,-9.55000019073486
1335.9909866,-7.57999992370605
1336.0066116,-2.88000011444092
1336.0222366,5.40999984741211
1336.0378616,16.4899997711182
1336.0534866,28.0100002288818
1336.0691116,37.5200004577637
1336.0847366,43.689998626709
1336.1003616,46.6399993896484
1336.1159866,47.3699989318848
1336.1316116,47.2000007629395
1336.1472366,47.0699996948242
1336.1628616,47.2000007629395
1336.1784866,46.9300003051758
1336.1941116,45.1300010681152
1336.2097366,40.7000007629395
1336.2253616,33.1699981689453
1336.2409866,23.1900005340576
1336.2566116,12.5900001525879
1336.2722366,3.5
1336.2878616,-2.64000010490417
1336.3034866,-5.73999977111816
1336.3191116,-6.98999977111816
1336.3347366,-8.03999996185303
1336.3503616,-10.0100002288818
1336.3659866,-13.1400003433228
1336.3816116,-17.1399993896484
1336.3972366,-21.6399993896484
1336.4128616,-26.1000003814697
1336.4284866,-29.9400005340576
1336.4441116,-32.9500007629395
1336.4597366,-35.25
1336.4753616,-36.8300018310547
1336.4909866,-37.5200004577637
1336.5066116,-37.3800010681152
1336.5222366,-36.7599983215332
1336.5378616,-35.7900009155273
1336.5534866,-34.1300010681152
1336.5691116,-31.3199996948242
1336.5847366,-27.5200004577637
1336.6003616,-23.5900001525879
1336.6159866,-20.5200004577637
1336.6316116,-18.7299995422363
1336.6472366,-17.9200000762939
1336.6628616,-17.5400009155273
1336.6784866,-17.2399997711182
1336.6941116,-17.0300006866455
1336.7097366,-16.9500007629395
1336.7253616,-16.8199996948242
1336.7409866,-16.5699996948242
1336.7566116,-16.5200004577637
1336.7722366,-17.0900001525879
1336.7878616,-18.1399993896484
1336.8034866,-18.8799991607666
1336.8191116,-18.1800003051758
1336.8347366,-14.9700002670288
1336.8503616,-8.44999980926514
1336.8659866,1.62999999523163
1336.8816116,14.6199998855591
1336.8972366,28.6399993896484
1336.9128616,41.0499992370605
1336.9284866,49.6100006103516
1336.9441116,53.560001373291
1336.9597366,53.8499984741211
1336.9753616,52.4300003051758
1336.9909866,51.0900001525879
1337.0066116,50.4700012207031
1337.0222366,49.7999992370605
1337.0378616,47.9199981689453
1337.0534866,44.3699989318848
1337.0691116,39.3899993896484
1337.0847366,33.2999992370605
1337.1003616,26.2199993133545
1337.1159866,18.3099994659424
1337.1316116,9.96000003814697
1337.1472366,1.98000001907349
1337.1628616,-4.51000022888184
1337.1784866,-8.78999996185303
1337.1941116,-11.1000003814697
1337.2097366,-12.6199998855591
1337.2253616,-14.6199998855591
1337.2409866,-17.6399993896484
1337.2566116,-21.1399993896484
1337.2722366,-24.0699996948242
1337.2878616,-25.8400001525879
1337.3034866,-26.6499996185303
1337.3191116,-27.0599994659424
1337.3347366,-27.5499992370605
1337.3503616,-28.3199996948242
1337.3659866,-29.1800003051758
1337.3816116,-29.6800003051758
1337.3972366,-29.5599994659424
1337.4128616,-28.9200000762939
1337.4284866,-28.0799999237061
1337.4441116,-27.25
1337.4597366,-26.3400001525879
1337.4753616,-25.1499996185303
1337.4909866,-23.3299999237061
1337.5066116,-20.4699993133545
1337.5222366,-16.6599998474121
1337.5378616,-12.9899997711182
1337.5534866,-11.0699996948242
1337.5691116,-11.9700002670288
1337.5847366,-15.3100004196167
1337.6003616,-19.5799999237061
1337.6159866,-23.1499996185303
1337.6316116,-24.9699993133545
1337.6472366,-24.4899997711182
1337.6628616,-21.5200004577637
1337.6784866,-16.3999996185303
1337.6941116,-9.57999992370605
1337.7097366,-1.04999995231628
1337.7253616,9.31999969482422
1337.7409866,20.8999996185303
1337.7566116,32.0200004577637
1337.7722366,41.0299987792969
1337.7878616,47.2999992370605
1337.8034866,51.1800003051758
1337.8191116,53.3699989318848
1337.8347366,54.4099998474121
1337.8503616,54.6399993896484
1337.8659866,54.2900009155273
1337.8816116,53.4000015258789
1337.8972366,51.5499992370605
1337.9128616,48.0200004577637
1337.9284866,41.9900016784668
1337.9441116,33.1699981689453
1337.9597366,22.25
1337.9753616,10.8500003814697
1337.9909866,0.860000014305115
1338.0066116,-6.26000022888184
1338.0222366,-9.97000026702881
1338.0378616,-10.8599996566772
1338.0534866,-10.3900003433228
1338.0691116,-10.3400001525879
1338.0847366,-11.9499998092651
1338.1003616,-15.3100004196167
1338.1159866,-19.4699993133545
1338.1316116,-23.2600002288818
1338.1472366,-26.0799999237061
1338.1628616,-28.0300006866455
1338.1784866,-29.5
1338.1941116,-30.8299999237061
1338.2097366,-32.0800018310547
1338.2253616,-32.8400001525879
1338.2409866,-32.4799995422363
1338.2566116,-30.7199993133545
1338.2722366,-27.9899997711182
1338.2878616,-25.3899993896484
1338.3034866,-24.1800003051758
1338.3191116,-25.0300006866455
1338.3347366,-27.3999996185303
1338.3503616,-29.7299995422363
1338.3659866,-30.5200004577637
1338.3816116,-29.25
1338.3972366,-26.3999996185303
1338.4128616,-22.8400001525879
1338.4284866,-19.3899993896484
1338.4441116,-16.6499996185303
1338.4597366,-15.0799999237061
1338.4753616,-14.8000001907349
1338.4909866,-15.5100002288818
1338.5066116,-16.5200004577637
1338.5222366,-16.7299995422363
1338.5378616,-14.7399997711182
1338.5534866,-9.10999965667725
1338.5691116,0.829999983310699
1338.5847366,14.2700004577637
1338.6003616,28.7999992370605
1338.6159866,41.4599990844727
1338.6316116,49.9700012207031
1338.6472366,53.6800003051758
1338.6628616,53.4799995422363
1338.6784866,51.3199996948242
1338.6941116,49.25
1338.7097366,48.3499984741211
1338.7253616,48.2900009155273
1338.7409866,47.7400016784668
1338.7566116,45.189998626709
1338.7722366,39.8800010681152
1338.7878616,32.1300010681152
1338.8034866,23.2800006866455
1338.8191116,14.9200000762939
1338.8347366,8.21000003814697
1338.8503616,3.63000011444092
1338.8659866,0.819999992847443
1338.8816116,-1.25
1338.8972366,-3.88000011444092
1338.9128616,-7.94999980926514
1338.9284866,-13.4200000762939
1338.9441116,-19.1700000762939
1338.9597366,-23.6200008392334
1338.9753616,-25.9400005340576
1338.9909866,-26.4500007629395
1339.0066116,-25.9099998474121
1339.0222366,-25.0599994659424
1339.0378616,-24.4200000762939
1339.0534866,-24.1200008392334
1339.0691116,-24.0200004577637
1339.0847366,-24.0900001525879
1339.1003616,-24.4799995422363
1339.1159866,-25.2299995422363
1339.1316116,-25.75
1339.1472366,-25.0400009155273
1339.1628616,-22.4899997711182
1339.1784866,-18.4200000762939
1339.1941116,-13.9799995422363
1339.2097366,-10.5799999237061
1339.2253616,-9.05000019073486
1339.2409866,-9.27000045776367
1339.2566116,-10.210000038147
1339.2722366,-10.8100004196167
1339.2878616,-10.6400003433228
1339.3034866,-9.96000003814697
1339.3191116,-9.05000019073486
1339.3347366,-7.42000007629395
1339.3503616,-3.60999989509583
1339.3659866,3.92000007629395
1339.3816116,15.3500003814697
1339.3972366,28.7700004577637
1339.4128616,40.9000015258789
1339.4284866,48.8899993896484
1339.4441116,51.9599990844727
1339.4597366,51.3400001525879
1339.4753616,48.8499984741211
1339.4909866,45.7900009155273
1339.5066116,42.7400016784668
1339.5222366,39.7999992370605
1339.5378616,36.7099990844727
1339.5534866,32.939998626709
1339.5691116,27.9099998474121
1339.5847366,21.5699996948242
1339.6003616,14.8000001907349
1339.6159866,8.94999980926514
1339.6316116,5.05999994277954
1339.6472366,3.24000000953674
1339.6628616,2.5699999332428
1339.6784866,1.45000004768372
1339.6941116,-1.30999994277954
1339.7097366,-5.90000009536743
1339.7253616,-11.5600004196167
1339.7409866,-17.25
1339.7566116,-22.1599998474121
1339.7722366,-25.7600002288818
1339.7878616,-27.7900009155273
1339.8034866,-28.4599990844727
1339.8191116,-28.4099998474121
1339.8347366,-28.1399993896484
1339.8503616,-27.5599994659424
1339.8659866,-26.25
1339.8816116,-24.0400009155273
1339.8972366,-21.2199993133545
1339.9128616,-18.25
1339.9284866,-15.8000001907349
1339.9441116,-14.6400003433228
1339.9597366,-15.3199996948242
1339.9753616,-17.8299999237061
1339.9909866,-21.3899993896484
1340.0066116,-24.7399997711182
1340.0222366,-26.8199996948242
1340.0378616,-27.3799991607666
1340.0534866,-26.6900005340576
1340.0691116,-24.8899993896484
1340.0847366,-21.7900009155273
1340.1003616,-17.2800006866455
1340.1159866,-11.3100004196167
1340.1316116,-3.46000003814697
1340.1472366,6.90999984741211
1340.1628616,19.7600002288818
1340.1784866,33.7099990844727
1340.1941116,46.3300018310547
1340.2097366,55.2299995422363
1340.2253616,59.1699981689453
1340.2409866,58.4599990844727
1340.2566116,54.7799987792969
1340.2722366,50.3300018310547
1340.2878616,46.7700004577637
1340.3034866,44.810001373291
1340.3191116,44.1500015258789
