Time(s),Value(%)
1431.0024319,3.04999995231628
1431.0180569,2.79999995231628
1431.0336819,2.49000000953674
1431.0493069,2.16000008583069
1431.0649319,1.79999995231628
1431.0805569,1.38999998569489
1431.0961819,0.839999973773956
1431.1118069,0.100000001490116
1431.1274319,-0.860000014305115
1431.1430569,-2.0
1431.1586819,-3.15000009536743
1431.1743069,-4.09000015258789
1431.1899319,-4.65999984741211
1431.2055569,-4.78999996185303
1431.2211819,-4.55000019073486
1431.2368069,-4.13000011444092
1431.2524319,-3.71000003814697
1431.2680569,-3.45000004768372
1431.2836819,-3.40000009536743
1431.2993069,-3.52999997138977
1431.3149319,-3.75
1431.3305569,-3.96000003814697
1431.3461819,-4.03999996185303
1431.3618069,-3.95000004768372
1431.3774319,-3.72000002861023
1431.3930569,-3.4300000667572
1431.4086819,-3.19000005722046
1431.4243069,-3.05999994277954
1431.4399319,-3.03999996185303
1431.4555569,-3.05999994277954
1431.4711819,-3.0699999332428
1431.4868069,-3.05999994277954
1431.5024319,-3.01999998092651
1431.5180569,-2.92000007629395
1431.5336819,-2.73000001907349
1431.5493069,-2.39000010490417
1431.5649319,-1.95000004768372
1431.5805569,-1.47000002861023
1431.5961819,-1.07000005245209
1431.6118069,-0.870000004768372
1431.6274319,-0.889999985694885
1431.6430569,-1.01999998092651
1431.6586819,-1.07000005245209
1431.6743069,-0.889999985694885
1431.6899319,-0.419999986886978
1431.7055569,0.270000010728836
1431.7211819,1.05999994277954
1431.7368069,1.72000002861023
1431.7524319,2.09999990463257
1431.7680569,2.16000008583069
1431.7836819,1.99000000953674
1431.7993069,1.75
1431.8149319,1.58000004291534
1431.8305569,1.51999998092651
1431.8461819,1.51999998092651
1431.8618069,1.47000002861023
1431.8774319,1.25
1431.8930569,0.800000011920929
1431.9086819,0.180000007152557
1431.9243069,-0.479999989271164
1431.9399319,-1.05999994277954
1431.9555569,-1.49000000953674
1431.9711819,-1.77999997138977
1431.9868069,-1.96000003814697
1432.0024319,-2.09999990463257
1432.0180569,-2.21000003814697
1432.0336819,-2.30999994277954
1432.0493069,-2.40000009536743
1432.0649319,-2.44000005722046
1432.0805569,-2.44000005722046
1432.0961819,-2.35999989509583
1432.1118069,-2.21000003814697
1432.1274319,-2.0
1432.1430569,-1.79999995231628
1432.1586819,-1.6599999666214
1432.1743069,-1.57000005245209
1432.1899319,-1.48000001907349
1432.2055569,-1.37999999523163
1432.2211819,-1.32000005245209
1432.2368069,-1.33000004291534
1432.2524319,-1.39999997615814
1432.2680569,-1.44000005722046
1432.2836819,-1.3400000333786
1432.2993069,-1.04999995231628
1432.3149319,-0.610000014305115
1432.3305569,-0.119999997317791
1432.3461819,0.349999994039536
1432.3618069,0.759999990463257
1432.3774319,1.10000002384186
1432.3930569,1.42999994754791
1432.4086819,1.79999995231628
1432.4243069,2.25
1432.4399319,2.78999996185303
1432.4555569,3.46000003814697
1432.4711819,4.32000017166138
1432.4868069,5.40000009536743
1432.5024319,6.57999992370605
1432.5180569,7.63000011444092
1432.5336819,8.32999992370605
1432.5493069,8.53999996185303
1432.5649319,8.26000022888184
1432.5805569,7.53000020980835
1432.5961819,6.36999988555908
1432.6118069,4.73000001907349
1432.6274319,2.64000010490417
1432.6430569,0.310000002384186
1432.6586819,-1.85000002384186
1432.6743069,-3.49000000953674
1432.6899319,-4.48999977111816
1432.7055569,-4.98999977111816
1432.7211819,-5.23999977111816
1432.7368069,-5.44000005722046
1432.7524319,-5.65999984741211
1432.7680569,-5.92999982833862
1432.7836819,-6.21999979019165
1432.7993069,-6.46999979019165
1432.8149319,-6.63000011444092
1432.8305569,-6.67000007629395
1432.8461819,-6.61999988555908
1432.8618069,-6.59000015258789
1432.8774319,-6.6100001335144
1432.8930569,-6.63000011444092
1432.9086819,-6.51999998092651
1432.9243069,-6.23999977111816
1432.9399319,-5.78999996185303
1432.9555569,-5.23999977111816
1432.9711819,-4.65000009536743
1432.9868069,-4.07000017166138
1433.0024319,-3.49000000953674
1433.0180569,-2.9300000667572
