Time(s),Value(bpm)
985.0042358,85
985.1292358,85
985.2542358,85
985.3792358,85
985.5042358,85
985.6292358,85
985.7542358,85
985.8792358,85
986.0042358,85
986.1292358,85
986.2542358,85
986.3792358,85
986.5042358,85
986.6292358,85
986.7542358,85
986.8792358,86
987.0042358,86
987.1292358,86
987.2542358,86
987.3792358,86
987.5042358,86
987.6292358,86
987.7542358,86
987.8792358,86
988.0042358,86
988.1292358,86
988.2542358,87
988.3792358,87
988.5042358,87
988.6292358,87
988.7542358,87
988.8792358,87
989.0042358,87
989.1292358,87
989.2542358,87
989.3792358,87
989.5042358,87
989.6292358,87
989.7542358,87
989.8792358,87
990.0042358,87
990.1292358,87
990.2542358,87
990.3792358,87
990.5042358,88
990.6292358,88
990.7542358,88
990.8792358,88
991.0042358,88
991.1292358,88
991.2542358,88
991.3792358,88
991.5042358,88
991.6292358,88
991.7542358,88
991.8792358,88
992.0042358,88
992.1292358,88
992.2542358,88
992.3792358,88
992.5042358,88
992.6292358,88
992.7542358,89
992.8792358,89
993.0042358,89
993.1292358,89
993.2542358,89
993.3792358,89
993.5042358,89
993.6292358,90
993.7542358,90
993.8792358,90
994.0042358,90
994.1292358,90
994.2542358,90
994.3792358,90
994.5042358,90
994.6292358,90
994.7542358,90
994.8792358,91
995.0042358,91
995.1292358,91
995.2542358,91
995.3792358,91
995.5042358,91
995.6292358,91
995.7542358,91
995.8792358,91
996.0042358,91
996.1292358,91
996.2542358,91
996.3792358,91
996.5042358,91
996.6292358,91
996.7542358,91
996.8792358,91
997.0042358,91
997.1292358,91
997.2542358,91
997.3792358,91
997.5042358,91
997.6292358,91
997.7542358,91
997.8792358,90
998.0042358,90
998.1292358,90
998.2542358,90
998.3792358,90
998.5042358,90
998.6292358,90
998.7542358,90
998.8792358,90
999.0042358,90
999.1292358,90
999.2542358,90
999.3792358,90
999.5042358,90
999.6292358,89
999.7542358,89
999.8792358,89
1000.0042358,89
1000.1292358,89
1000.2542358,89
1000.3792358,89
1000.5042358,89
1000.6292358,89
1000.7542358,89
1000.8792358,89
1001.0042358,89
1001.1292358,89
1001.2542358,89
1001.3792358,89
1001.5042358,89
1001.6292358,89
1001.7542358,89
1001.8792358,89
1002.0042358,89
1002.1292358,89
1002.2542358,89
1002.3792358,89
1002.5042358,89
1002.6292358,89
1002.7542358,89
1002.8792358,89
1003.0042358,89
1003.1292358,89
1003.2542358,89
1003.3792358,89
1003.5042358,89
1003.6292358,89
1003.7542358,89
1003.8792358,89
1004.0042358,89
1004.1292358,89
1004.2542358,89
1004.3792358,89
1004.5042358,89
1004.6292358,89
1004.7542358,89
1004.8792358,89
1005.0042358,89
1005.1292358,89
1005.2542358,89
1005.3792358,89
1005.5042358,89
1005.6292358,89
1005.7542358,89
1005.8792358,89
1006.0042358,89
1006.1292358,89
1006.2542358,89
1006.3792358,89
1006.5042358,89
1006.6292358,89
1006.7542358,89
1006.8792358,90
1007.0042358,90
1007.1292358,90
1007.2542358,90
1007.3792358,90
1007.5042358,90
1007.6292358,90
1007.7542358,90
1007.8792358,90
1008.0042358,90
1008.1292358,90
1008.2542358,91
1008.3792358,91
1008.5042358,91
1008.6292358,91
1008.7542358,91
1008.8792358,91
1009.0042358,91
1009.1292358,91
1009.2542358,91
1009.3792358,91
1009.5042358,91
1009.6292358,91
1009.7542358,91
1009.8792358,91
