Recording,23121601
Subject,23121601
Create Time,2023-12-16 09:27:15.656
Data Name,Finger30 PPG
Data Type,PPG
Sample Rate,64Hz
Segment,完整记录
Start Time,00:00:00.0910000
End Time,00:11:22.0727994
Duration,00:11:21.9817994
