Time(s),Value(bpm)
1610.0039886,79
1610.1289886,79
1610.2539886,79
1610.3789886,79
1610.5039886,79
1610.6289886,79
1610.7539886,79
1610.8789886,79
1611.0039886,79
1611.1289886,79
1611.2539886,79
1611.3789886,79
1611.5039886,79
1611.6289886,79
1611.7539886,79
1611.8789886,79
1612.0039886,79
1612.1289886,80
1612.2539886,80
1612.3789886,80
1612.5039886,80
1612.6289886,80
1612.7539886,80
1612.8789886,80
1613.0039886,80
1613.1289886,80
1613.2539886,80
1613.3789886,80
1613.5039886,80
1613.6289886,80
1613.7539886,80
1613.8789886,80
1614.0039886,80
1614.1289886,80
1614.2539886,80
1614.3789886,80
1614.5039886,80
1614.6289886,80
1614.7539886,80
1614.8789886,81
1615.0039886,81
1615.1289886,81
1615.2539886,81
1615.3789886,81
1615.5039886,81
1615.6289886,81
1615.7539886,81
1615.8789886,81
1616.0039886,81
1616.1289886,81
1616.2539886,81
1616.3789886,81
1616.5039886,81
1616.6289886,82
1616.7539886,82
1616.8789886,82
1617.0039886,82
1617.1289886,82
1617.2539886,82
1617.3789886,82
1617.5039886,82
1617.6289886,82
1617.7539886,82
1617.8789886,82
1618.0039886,82
1618.1289886,82
1618.2539886,82
1618.3789886,82
1618.5039886,82
1618.6289886,82
1618.7539886,82
1618.8789886,82
1619.0039886,82
1619.1289886,82
1619.2539886,82
1619.3789886,82
1619.5039886,82
1619.6289886,82
1619.7539886,82
1619.8789886,82
1620.0039886,82
1620.1289886,82
1620.2539886,83
1620.3789886,83
1620.5039886,83
1620.6289886,83
1620.7539886,83
1620.8789886,83
1621.0039886,83
1621.1289886,83
1621.2539886,83
1621.3789886,83
1621.5039886,83
1621.6289886,83
1621.7539886,83
1621.8789886,83
1622.0039886,83
1622.1289886,83
1622.2539886,83
1622.3789886,83
1622.5039886,83
1622.6289886,83
1622.7539886,83
1622.8789886,83
1623.0039886,83
1623.1289886,83
1623.2539886,83
1623.3789886,83
1623.5039886,83
1623.6289886,83
1623.7539886,84
1623.8789886,84
1624.0039886,84
1624.1289886,84
1624.2539886,84
1624.3789886,84
1624.5039886,84
1624.6289886,84
1624.7539886,84
1624.8789886,84
1625.0039886,84
1625.1289886,84
1625.2539886,84
1625.3789886,84
1625.5039886,84
1625.6289886,84
1625.7539886,84
1625.8789886,84
1626.0039886,84
1626.1289886,84
1626.2539886,84
1626.3789886,84
1626.5039886,84
1626.6289886,84
1626.7539886,84
1626.8789886,84
1627.0039886,84
1627.1289886,84
1627.2539886,84
1627.3789886,84
1627.5039886,84
1627.6289886,84
1627.7539886,84
1627.8789886,84
1628.0039886,84
1628.1289886,84
1628.2539886,84
1628.3789886,84
1628.5039886,84
1628.6289886,84
1628.7539886,84
1628.8789886,84
1629.0039886,84
1629.1289886,84
1629.2539886,84
1629.3789886,84
1629.5039886,84
1629.6289886,84
1629.7539886,85
1629.8789886,85
1630.0039886,85
1630.1289886,85
1630.2539886,85
1630.3789886,85
1630.5039886,86
1630.6289886,86
1630.7539886,86
1630.8789886,86
1631.0039886,86
1631.1289886,86
1631.2539886,86
1631.3789886,87
1631.5039886,87
1631.6289886,87
1631.7539886,87
1631.8789886,87
