Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;
0;-0.408428;-0.171674;-20.9047;-1.75;29.998;-0.000953905;-4.88323e-006;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.0100038;-1.01782;-0.116075;-20.8529;-1.75001;29.9775;-0.00376947;-0.000188677;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.0200076;-1.38753;-0.0617406;-20.7696;-1.75002;29.9325;-0.00659311;-0.000763599;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.0300114;-1.41309;-0.039486;-20.6865;-1.75004;29.8817;-0.00783514;-0.00166608;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.0400152;-1.38943;-0.0247754;-20.6034;-1.75007;29.8311;-0.0082809;-0.00274515;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.050019;-1.35818;-0.0214966;-20.5204;-1.7501;29.7814;-0.00836754;-0.00391595;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.0600228;-1.33051;-0.0246653;-20.4376;-1.75013;29.7328;-0.00858338;-0.00513828;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.0700266;-1.31053;-0.026182;-20.3545;-1.75016;29.6849;-0.00886861;-0.00640614;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.0800304;-1.29782;-0.0272354;-20.2721;-1.7502;29.6378;-0.00918517;-0.00768484;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.0900342;-1.2914;-0.0280966;-20.1953;-1.75023;29.5941;-0.00950653;-0.00888892;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.100038;-1.28852;-0.0290286;-20.1072;-1.75027;29.5441;-0.00990711;-0.010281;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.110042;-1.28847;-0.0295305;-20.0247;-1.75032;29.4971;-0.0103124;-0.0115881;37.4802;-1.75;-42.5198;1.75;52.4802;-5.25;
0.120046;-1.28935;-0.0292378;-19.9426;-1.75036;29.4502;-0.0107194;-0.012889;37.4804;-1.75;-42.5197;1.75;52.4803;-5.25;
0.130049;-1.29052;-0.0285872;-19.8628;-1.75041;29.4045;-0.0110997;-0.0141518;37.4805;-1.75;-42.5195;1.75;52.4805;-5.25;
0.140053;-1.29164;-0.0276583;-19.7801;-1.75047;29.3571;-0.0114661;-0.0154603;37.4807;-1.75;-42.5193;1.75;52.4807;-5.25;
0.150057;-1.29243;-0.0291857;-19.7003;-1.75052;29.3111;-0.0118881;-0.0167305;37.4809;-1.75;-42.5192;1.75;52.4809;-5.25;
0.160061;-1.29297;-0.0321372;-19.6198;-1.75058;29.2647;-0.0125286;-0.0180422;37.4811;-1.75;-42.519;1.75;52.481;-5.25;
0.170065;-1.29333;-0.0269764;-19.5387;-1.75064;29.2179;-0.0128883;-0.0193984;37.5488;-1.74998;-42.3837;1.75005;52.5487;-5.24998;
0.180068;-1.29362;-0.02504;-19.4566;-1.7507;29.1703;-0.0131262;-0.020791;37.6325;-1.74995;-42.2162;1.75011;52.6324;-5.24995;
0.190072;-1.29394;-0.0241015;-19.3759;-1.75077;29.1236;-0.0133039;-0.0221724;37.7162;-1.74992;-42.0488;1.75017;52.7162;-5.24992;
0.200076;-1.29441;-0.0231632;-19.2942;-1.75084;29.0761;-0.0134493;-0.0235805;37.7999;-1.7499;-41.8814;1.75023;52.7999;-5.2499;
0.21008;-1.29507;-0.0221482;-19.2141;-1.75091;29.0295;-0.0135562;-0.0249662;37.8836;-1.74987;-41.714;1.7503;52.8836;-5.24987;
0.220084;-1.29593;-0.00897065;-19.1334;-1.75098;28.9824;-0.0133033;-0.0263584;37.9668;-1.74984;-41.5476;1.75035;52.9668;-5.24984;
0.230087;-1.29692;-0.0155566;-19.0532;-1.75106;28.9356;-0.0131051;-0.0277081;38.0499;-1.74981;-41.3814;1.7504;53.0499;-5.24981;
0.240091;-1.29791;-0.0170857;-18.9733;-1.75113;28.8888;-0.0130291;-0.0290386;38.133;-1.74978;-41.2152;1.75045;53.133;-5.24978;
0.250095;-1.29883;-0.0168735;-18.8928;-1.75121;28.8416;-0.0129697;-0.0303766;38.2161;-1.74975;-41.049;1.75051;53.216;-5.24975;
0.260099;-1.29962;-0.0162309;-18.8116;-1.75129;28.7938;-0.012893;-0.0317289;38.2992;-1.74972;-40.8829;1.75056;53.2991;-5.24972;
0.270103;-1.30021;-0.0156709;-18.7321;-1.75137;28.747;-0.0127943;-0.0330543;38.3825;-1.74968;-40.7163;1.75062;53.3824;-5.24968;
