Recording,Recording 23121501
Subject,23121501
Create Time,2023-12-19 21:33:48.911
Data Name,Left Pupil
Data Type,Pupil
Sample Rate,50Hz
Segment,Glasses3Video
Start Time,00:00:00
End Time,00:14:44.2090000
Duration,00:14:44.2090000
