Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;
0;0.940658;0.331031;-110.068;-1.75;30.0016;0.00122193;4.23065e-006;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.0100033;3.17353;0.244143;-110.011;-1.74999;30.0824;0.00732614;0.000529916;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.0200066;4.07412;0.176054;-109.927;-1.74996;30.2218;0.01399;0.0021077;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.03001;4.15539;0.1459;-109.843;-1.7499;30.3702;0.0182023;0.00483299;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.0400133;3.58859;0.13614;-109.758;-1.74984;30.5167;0.0212405;0.00839099;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.0500166;1.11046;0.13337;-109.673;-1.74976;30.6051;0.0238484;0.0125936;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.0600199;-0.325958;0.121662;-109.588;-1.74967;30.6144;0.0259175;0.0173072;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.0700233;-0.59267;0.1211;-109.503;-1.74956;30.5959;0.0274597;0.0224769;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.0800266;-0.668093;0.125462;-109.418;-1.74944;30.5724;0.0289199;0.0279863;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.0900299;-0.683816;0.132023;-109.332;-1.74931;30.5475;0.0304416;0.0337705;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.100033;-0.681852;0.138887;-109.247;-1.74917;30.5225;0.0320935;0.0397975;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.110037;-0.683245;0.144404;-109.162;-1.74901;30.4976;0.0338867;0.0460186;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.12004;-0.691595;0.147711;-109.077;-1.74884;30.4728;0.035741;0.0523475;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.130043;-0.704762;0.149433;-108.993;-1.74866;30.4478;0.0376049;0.0587853;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.140047;-0.717802;0.14999;-108.912;-1.74846;30.423;0.0394061;0.0651504;23.5049;5.24998;1.74996;-151.949;1.74997;-106.225;7.75;13.5198;14.696;7.75;
0.15005;-0.725844;0.152952;-108.828;-1.74825;30.397;0.0412859;0.0718312;23.4893;5.24997;1.74996;-151.926;1.74996;-106.202;7.7468;13.5247;14.6805;7.74992;
0.160053;-0.729436;0.148291;-108.747;-1.74803;30.3718;0.043013;0.0783673;23.4327;5.24996;1.74994;-151.841;1.74995;-106.117;7.7399;13.5351;14.624;7.74962;
0.170057;-0.73135;0.142509;-108.662;-1.74778;30.3454;0.044595;0.0852962;23.3762;5.24995;1.74993;-151.756;1.74993;-106.032;7.733;13.5456;14.5676;7.74933;
0.18006;-0.73432;0.135575;-108.569;-1.7475;30.3161;0.0460507;0.0930093;23.3196;5.24994;1.74991;-151.671;1.74992;-105.947;7.7261;13.556;14.5111;7.74903;
0.190063;-0.737546;0.129997;-108.491;-1.74725;30.2915;0.0470228;0.0995168;23.263;5.24993;1.7499;-151.586;1.74991;-105.862;7.71921;13.5664;14.4546;7.74874;
0.200066;-0.740919;0.124418;-108.404;-1.74695;30.2638;0.047895;0.106856;23.2067;5.24992;1.74988;-151.501;1.74989;-105.777;7.71043;13.5748;14.3984;7.74845;
0.21007;-0.742764;0.119965;-108.319;-1.74665;30.237;0.0485564;0.113966;23.1508;5.2499;1.74985;-151.417;1.74987;-105.693;7.69939;13.5805;14.3427;7.74818;
0.220073;-0.742896;0.116481;-108.237;-1.74635;30.2108;0.0490575;0.120899;23.0948;5.24989;1.74983;-151.333;1.74984;-105.609;7.68835;13.5863;14.287;7.74791;
0.230076;-0.740308;0.113704;-108.151;-1.74602;30.1832;0.0494591;0.128233;23.0389;5.24987;1.74981;-151.249;1.74982;-105.525;7.6773;13.5921;14.2313;7.74763;
0.24008;-0.735611;0.111587;-108.068;-1.74569;30.157;0.0497576;0.135256;22.983;5.24986;1.74978;-151.165;1.7498;-105.441;7.66626;13.5978;14.1755;7.74736;
0.250083;-0.729688;0.109667;-107.983;-1.74534;30.1304;0.049998;0.142445;22.9276;5.24984;1.74976;-151.082;1.74978;-105.357;7.65462;13.6021;14.1204;7.74709;
0.260086;-0.727406;0.107965;-107.902;-1.745;30.1049;0.050169;0.149374;22.873;5.24982;1.74972;-151;1.74975;-105.275;7.64235;13.6046;14.0662;7.74681;
0.27009;-0.728951;0.10631;-107.814;-1.74462;30.0774;0.0502856;0.156842;22.8183;5.24979;1.74969;-150.918;1.74972;-105.193;7.63008;13.6072;14.0119;7.74653;
0.280093;-0.731374;0.104927;-107.733;-1.74425;30.0517;0.0503476;0.163837;22.7637;5.24977;1.74966;-150.835;1.74969;-105.111;7.61781;13.6098;13.9576;7.74625;
0.290096;-0.730468;0.103654;-107.652;-1.74388;30.0262;0.0503658;0.170741;22.709;5.24975;1.74963;-150.753;1.74966;-105.029;7.60554;13.6124;13.9034;7.74597;
0.3001;-0.73343;0.102543;-107.573;-1.7435;30.0012;0.050344;0.177521;22.6536;5.24973;1.74959;-150.67;1.74963;-104.946;7.59318;13.6142;13.8484;7.74569;
