Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;
0;1.64831;0.336488;-110.064;-1.75;30.0046;0.00183999;1.28872e-005;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.0100016;3.60721;0.236168;-110.005;-1.74999;30.0899;0.00820484;0.000567317;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.0200032;4.08212;0.176027;-109.921;-1.74995;30.2327;0.0145068;0.00233305;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.0300048;4.15685;0.146498;-109.837;-1.7499;30.3818;0.0187007;0.00516469;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.0400064;3.52752;0.138426;-109.752;-1.74983;30.5285;0.0217341;0.00881244;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.050008;0.814728;0.136549;-109.667;-1.74975;30.6103;0.0244286;0.0130993;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.0600096;-0.340212;0.124827;-109.583;-1.74966;30.6133;0.0264587;0.0178665;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.0700112;-0.591846;0.123975;-109.502;-1.74955;30.5956;0.0279766;0.0228628;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.0800128;-0.670651;0.128575;-109.411;-1.74943;30.5706;0.0295781;0.0288399;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.0900144;-0.684385;0.135234;-109.326;-1.74929;30.5457;0.0311434;0.0347499;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.100016;-0.682179;0.14575;-109.245;-1.74915;30.5219;0.0328631;0.0406293;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
0.110018;-0.683529;0.15043;-109.157;-1.74899;30.4963;0.0348531;0.0471685;23.5065;5.24998;1.74996;-151.952;1.74997;-106.227;7.75;13.5198;14.696;7.75;
