Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;
0.260052;-0.971196;-0.00357055;-37.3708;-1.75029;19.1564;-0.00359585;-0.00911648;22.8287;5.24978;5.24966;-65.7968;1.74969;-46.8425;9.53402;14.157;15.0828;7.74718;
0.270054;-0.975586;-0.00350058;-37.3174;-1.75031;19.1212;-0.00358665;-0.00952639;22.7728;5.24975;5.24963;-65.7129;1.74966;-46.7592;9.52184;14.1596;15.0411;7.74695;
0.280056;-0.980128;-0.00343638;-37.264;-1.75033;19.0857;-0.00357555;-0.00993738;22.7169;5.24973;5.2496;-65.6288;1.74963;-46.6759;9.50965;14.1621;14.9995;7.74672;
0.290058;-0.984532;-0.0033692;-37.211;-1.75035;19.0503;-0.00356254;-0.0103454;22.6605;5.2497;5.24955;-65.5443;1.74959;-46.5925;9.49729;14.1638;14.9577;7.74648;
0.30006;-0.98983;-0.00330053;-37.1563;-1.75037;19.0136;-0.00354691;-0.010766;22.6042;5.24967;5.24951;-65.4598;1.74955;-46.509;9.4848;14.1648;14.916;7.74624;
0.310062;-0.996281;-0.00324241;-37.1051;-1.75039;18.9789;-0.00353065;-0.01116;22.5479;5.24965;5.24947;-65.3753;1.74952;-46.4256;9.47232;14.1659;14.8742;7.746;
0.320064;-1.00387;-0.0031945;-37.0534;-1.75041;18.9436;-0.00351285;-0.0115576;22.4916;5.24962;5.24943;-65.2908;1.74948;-46.3421;9.45984;14.1669;14.8325;7.74576;
0.330066;-1.01188;-0.0031595;-37.0006;-1.75043;18.9071;-0.00349359;-0.011964;22.4353;5.24959;5.24938;-65.2063;1.74944;-46.2588;9.44736;14.1679;14.7908;7.74552;
0.340068;-1.01973;-0.00313848;-36.9479;-1.75045;18.8704;-0.00347388;-0.0123692;22.379;5.24955;5.24933;-65.122;1.74939;-46.176;9.43487;14.1686;14.7493;7.74528;
0.35007;-1.02681;-0.00312782;-36.8953;-1.75047;18.8334;-0.00345418;-0.0127734;22.3227;5.24952;5.24928;-65.0377;1.74934;-46.0931;9.42237;14.169;14.7078;7.74504;
0.360072;-1.03232;-0.00312027;-36.8434;-1.75049;18.7966;-0.00343485;-0.013173;22.2664;5.24949;5.24923;-64.9534;1.7493;-46.0103;9.40988;14.1693;14.6663;7.7448;
0.370074;-1.03958;-0.00311657;-36.792;-1.75051;18.7598;-0.00341601;-0.0135684;22.2101;5.24945;5.24917;-64.8691;1.74925;-45.9274;9.39738;14.1697;14.6248;7.74456;
0.380076;-1.0466;-0.00310727;-36.739;-1.75054;18.7216;-0.00339689;-0.0139755;22.1537;5.24942;5.24912;-64.7846;1.7492;-45.8445;9.38489;14.1701;14.5832;7.74432;
0.390078;-1.05303;-0.00311535;-36.6869;-1.75056;18.6837;-0.00337856;-0.0143762;22.0968;5.24937;5.24906;-64.6995;1.74915;-45.7614;9.37237;14.1703;14.5416;7.74408;
0.40008;-1.05887;-0.00313573;-36.6348;-1.75058;18.6455;-0.00336125;-0.0147759;22.0399;5.24933;5.249;-64.6145;1.74909;-45.6784;9.35984;14.1704;14.4999;7.74384;
0.410082;-1.06407;-0.00316265;-36.5829;-1.7506;18.6072;-0.00334539;-0.0151745;21.983;5.24929;5.24894;-64.5294;1.74904;-45.5953;9.3473;14.1705;14.4583;7.7436;
0.420084;-1.06872;-0.00319044;-36.5313;-1.75063;18.5688;-0.00333131;-0.0155714;21.9261;5.24925;5.24888;-64.4444;1.74898;-45.5122;9.33476;14.1707;14.4166;7.74336;
0.430086;-1.0731;-0.00321603;-36.4795;-1.75065;18.53;-0.00331857;-0.0159689;21.8691;5.24921;5.24881;-64.3592;1.74892;-45.4292;9.32223;14.1708;14.375;7.74312;
0.440088;-1.07694;-0.00323569;-36.4324;-1.75067;18.4946;-0.00330821;-0.01633;21.8116;5.24916;5.24874;-64.2735;1.74886;-45.3461;9.30974;14.1708;14.3332;7.74288;
0.45009;-1.08133;-0.0032533;-36.3781;-1.7507;18.4535;-0.00329753;-0.0167469;21.7541;5.24911;5.24867;-64.1879;1.7488;-45.2629;9.29728;14.1708;14.2915;7.74265;
0.460092;-1.08569;-0.00326442;-36.3254;-1.75072;18.4133;-0.00328836;-0.0171514;21.6967;5.24906;5.2486;-64.1022;1.74873;-45.1798;9.28481;14.1708;14.2497;7.74241;
0.470094;-1.09;-0.00327049;-36.2748;-1.75075;18.3746;-0.00328037;-0.0175387;21.6392;5.24902;5.24853;-64.0165;1.74867;-45.0967;9.27235;14.1708;14.208;7.74218;
0.480096;-1.09441;-0.00327267;-36.2247;-1.75077;18.336;-0.00327312;-0.0179229;21.5817;5.24897;5.24846;-63.9309;1.7486;-45.0138;9.25989;14.1708;14.1663;7.74195;
0.490098;-1.09904;-0.00327116;-36.1743;-1.7508;18.2968;-0.0032664;-0.0183093;21.5242;5.24891;5.24838;-63.8454;1.74853;-44.9315;9.2474;14.1708;14.1249;7.74172;
0.5001;-1.10399;-0.00326633;-36.1227;-1.75082;18.2565;-0.00325998;-0.0187043;21.4667;5.24886;5.2483;-63.7599;1.74846;-44.8492;9.2349;14.1708;14.0835;7.7415;
0.510102;-1.109;-0.00325911;-36.0724;-1.75085;18.217;-0.00325405;-0.0190893;21.4091;5.2488;5.24822;-63.6744;1.74839;-44.7669;9.2224;14.1707;14.0421;7.74127;
0.520104;-1.11426;-0.00324956;-36.0215;-1.75087;18.1767;-0.00324828;-0.0194792;21.3516;5.24875;5.24814;-63.589;1.74832;-44.6846;9.2099;14.1707;14.0007;7.74105;
