Time(s),Value(℃)
234.0137919,171.529998779297
234.0294169,171.529998779297
234.0450419,171.529998779297
234.0606669,171.539993286133
234.0762919,171.539993286133
234.0919169,171.539993286133
234.1075419,171.539993286133
234.1231669,171.539993286133
234.1387919,171.539993286133
234.1544169,171.550003051758
234.1700419,171.550003051758
234.1856669,171.550003051758
234.2012919,171.550003051758
234.2169169,171.550003051758
234.2325419,171.559997558594
234.2481669,171.559997558594
234.2637919,171.559997558594
234.2794169,171.559997558594
234.2950419,171.559997558594
234.3106669,171.559997558594
234.3262919,171.559997558594
234.3419169,171.559997558594
234.3575419,171.559997558594
234.3731669,171.570007324219
234.3887919,171.570007324219
234.4044169,171.570007324219
234.4200419,171.570007324219
234.4356669,171.570007324219
234.4512919,171.570007324219
234.4669169,171.570007324219
234.4825419,171.570007324219
234.4981669,171.570007324219
234.5137919,171.570007324219
234.5294169,171.570007324219
234.5450419,171.570007324219
234.5606669,171.570007324219
234.5762919,171.570007324219
234.5919169,171.570007324219
234.6075419,171.570007324219
234.6231669,171.570007324219
234.6387919,171.580001831055
234.6544169,171.580001831055
234.6700419,171.580001831055
234.6856669,171.580001831055
234.7012919,171.580001831055
234.7169169,171.580001831055
234.7325419,171.580001831055
234.7481669,171.580001831055
234.7637919,171.580001831055
234.7794169,171.580001831055
234.7950419,171.580001831055
234.8106669,171.589996337891
234.8262919,171.589996337891
234.8419169,171.589996337891
234.8575419,171.589996337891
234.8731669,171.589996337891
234.8887919,171.589996337891
234.9044169,171.589996337891
234.9200419,171.589996337891
234.9356669,171.589996337891
234.9512919,171.589996337891
234.9669169,171.589996337891
234.9825419,171.589996337891
234.9981669,171.589996337891
235.0137919,171.589996337891
235.0294169,171.589996337891
235.0450419,171.589996337891
235.0606669,171.589996337891
235.0762919,171.589996337891
235.0919169,171.589996337891
235.1075419,171.589996337891
235.1231669,171.589996337891
235.1387919,171.589996337891
235.1544169,171.580001831055
235.1700419,171.580001831055
235.1856669,171.580001831055
235.2012919,171.580001831055
235.2169169,171.580001831055
235.2325419,171.580001831055
235.2481669,171.580001831055
235.2637919,171.580001831055
235.2794169,171.580001831055
235.2950419,171.580001831055
235.3106669,171.580001831055
235.3262919,171.580001831055
235.3419169,171.580001831055
235.3575419,171.580001831055
235.3731669,171.580001831055
235.3887919,171.580001831055
235.4044169,171.580001831055
235.4200419,171.580001831055
235.4356669,171.580001831055
235.4512919,171.580001831055
235.4669169,171.580001831055
235.4825419,171.580001831055
235.4981669,171.580001831055
235.5137919,171.580001831055
235.5294169,171.580001831055
235.5450419,171.580001831055
235.5606669,171.580001831055
235.5762919,171.580001831055
235.5919169,171.580001831055
235.6075419,171.570007324219
235.6231669,171.570007324219
235.6387919,171.570007324219
235.6544169,171.570007324219
235.6700419,171.570007324219
235.6856669,171.570007324219
235.7012919,171.570007324219
235.7169169,171.570007324219
235.7325419,171.570007324219
235.7481669,171.570007324219
235.7637919,171.570007324219
235.7794169,171.570007324219
235.7950419,171.570007324219
235.8106669,171.570007324219
235.8262919,171.570007324219
235.8419169,171.570007324219
235.8575419,171.570007324219
235.8731669,171.570007324219
235.8887919,171.570007324219
235.9044169,171.570007324219
235.9200419,171.570007324219
235.9356669,171.570007324219
235.9512919,171.580001831055
235.9669169,171.580001831055
235.9825419,171.580001831055
235.9981669,171.580001831055
236.0137919,171.580001831055
236.0294169,171.580001831055
236.0450419,171.589996337891
236.0606669,171.589996337891
236.0762919,171.589996337891
236.0919169,171.589996337891
236.1075419,171.589996337891
236.1231669,171.589996337891
236.1387919,171.589996337891
236.1544169,171.589996337891
236.1700419,171.589996337891
236.1856669,171.589996337891
236.2012919,171.589996337891
236.2169169,171.589996337891
236.2325419,171.589996337891
236.2481669,171.589996337891
236.2637919,171.589996337891
236.2794169,171.589996337891
236.2950419,171.589996337891
236.3106669,171.589996337891
236.3262919,171.589996337891
236.3419169,171.589996337891
236.3575419,171.589996337891
236.3731669,171.589996337891
236.3887919,171.589996337891
236.4044169,171.589996337891
236.4200419,171.589996337891
236.4356669,171.589996337891
236.4512919,171.600006103516
236.4669169,171.600006103516
236.4825419,171.600006103516
236.4981669,171.600006103516
236.5137919,171.600006103516
236.5294169,171.600006103516
236.5450419,171.600006103516
236.5606669,171.600006103516
236.5762919,171.610000610352
236.5919169,171.610000610352
236.6075419,171.610000610352
236.6231669,171.610000610352
236.6387919,171.610000610352
236.6544169,171.619995117188
236.6700419,171.619995117188
236.6856669,171.619995117188
236.7012919,171.619995117188
236.7169169,171.619995117188
236.7325419,171.619995117188
236.7481669,171.619995117188
236.7637919,171.630004882813
236.7794169,171.630004882813
236.7950419,171.630004882813
236.8106669,171.630004882813
236.8262919,171.630004882813
236.8419169,171.630004882813
236.8575419,171.639999389648
236.8731669,171.639999389648
236.8887919,171.639999389648
236.9044169,171.639999389648
236.9200419,171.639999389648
236.9356669,171.639999389648
236.9512919,171.639999389648
236.9669169,171.639999389648
236.9825419,171.639999389648
236.9981669,171.639999389648
237.0137919,171.639999389648
237.0294169,171.639999389648
237.0450419,171.639999389648
237.0606669,171.639999389648
237.0762919,171.639999389648
237.0919169,171.639999389648
237.1075419,171.639999389648
237.1231669,171.639999389648
237.1387919,171.639999389648
237.1544169,171.639999389648
237.1700419,171.639999389648
237.1856669,171.639999389648
237.2012919,171.639999389648
237.2169169,171.630004882813
237.2325419,171.630004882813
237.2481669,171.630004882813
237.2637919,171.630004882813
237.2794169,171.630004882813
237.2950419,171.630004882813
237.3106669,171.619995117188
237.3262919,171.619995117188
237.3419169,171.619995117188
237.3575419,171.619995117188
237.3731669,171.619995117188
237.3887919,171.619995117188
237.4044169,171.619995117188
237.4200419,171.610000610352
237.4356669,171.610000610352
237.4512919,171.610000610352
237.4669169,171.610000610352
237.4825419,171.610000610352
237.4981669,171.610000610352
237.5137919,171.610000610352
237.5294169,171.610000610352
237.5450419,171.600006103516
237.5606669,171.600006103516
237.5762919,171.600006103516
237.5919169,171.600006103516
237.6075419,171.600006103516
237.6231669,171.589996337891
237.6387919,171.589996337891
237.6544169,171.589996337891
237.6700419,171.589996337891
237.6856669,171.580001831055
237.7012919,171.580001831055
237.7169169,171.580001831055
237.7325419,171.580001831055
237.7481669,171.570007324219
237.7637919,171.570007324219
237.7794169,171.570007324219
237.7950419,171.559997558594
237.8106669,171.559997558594
237.8262919,171.559997558594
237.8419169,171.559997558594
237.8575419,171.550003051758
237.8731669,171.550003051758
237.8887919,171.550003051758
237.9044169,171.550003051758
237.9200419,171.550003051758
237.9356669,171.550003051758
237.9512919,171.550003051758
237.9669169,171.550003051758
237.9825419,171.539993286133
237.9981669,171.539993286133
238.0137919,171.539993286133
238.0294169,171.539993286133
238.0450419,171.539993286133
