Time(s),Value(bpm)
0.1839332,103
0.3089332,103
0.4339332,98
0.5589332,98
0.6839332,98
0.8089332,98
0.9339332,98
1.0589332,98
1.1839332,98
1.3089332,98
1.4339332,98
1.5589332,89
1.6839332,89
1.8089332,89
1.9339332,89
2.0589332,89
2.1839332,89
2.3089332,89
2.4339332,89
2.5589332,89
2.6839332,89
2.8089332,53
2.9339332,53
3.0589332,53
3.1839332,53
3.3089332,53
3.4339332,53
3.5589332,53
3.6839332,53
3.8089332,96
3.9339332,96
4.0589332,96
4.1839332,96
4.3089332,96
4.4339332,96
4.5589332,96
4.6839332,109
4.8089332,109
4.9339332,109
5.0589332,109
5.1839332,109
5.3089332,109
5.4339332,109
5.5589332,109
5.6839332,109
5.8089332,112
5.9339332,112
6.0589332,112
6.1839332,112
6.3089332,112
6.4339332,109
6.5589332,109
6.6839332,109
6.8089332,109
6.9339332,109
7.0589332,101
7.1839332,101
7.3089332,101
7.4339332,101
7.5589332,101
7.6839332,101
7.8089332,101
7.9339332,101
8.0589332,101
8.1839332,101
8.3089332,101
8.4339332,101
8.5589332,101
8.6839332,101
8.8089332,101
8.9339332,101
9.0589332,101
9.1839332,101
9.3089332,101
9.4339332,101
9.5589332,101
9.6839332,101
9.8089332,101
9.9339332,101
10.0589332,101
10.1839332,101
10.3089332,101
10.4339332,101
10.5589332,101
10.6839332,98
10.8089332,98
10.9339332,98
11.0589332,98
11.1839332,98
11.3089332,96
11.4339332,96
11.5589332,96
11.6839332,96
11.8089332,96
11.9339332,96
12.0589332,96
12.1839332,96
12.3089332,96
12.4339332,96
12.5589332,96
12.6839332,96
12.8089332,96
12.9339332,96
13.0589332,106
13.1839332,106
13.3089332,106
13.4339332,106
13.5589332,106
13.6839332,106
13.8089332,106
13.9339332,106
14.0589332,106
14.1839332,106
14.3089332,106
14.4339332,106
14.5589332,106
14.6839332,106
14.8089332,106
14.9339332,106
15.0589332,106
15.1839332,106
15.3089332,106
15.4339332,106
15.5589332,103
15.6839332,103
15.8089332,103
15.9339332,103
16.0589332,103
16.1839332,103
16.3089332,103
16.4339332,103
16.5589332,103
16.6839332,103
16.8089332,103
16.9339332,103
17.0589332,103
17.1839332,103
17.3089332,101
17.4339332,101
17.5589332,101
17.6839332,103
17.8089332,103
17.9339332,103
18.0589332,103
18.1839332,103
18.3089332,103
18.4339332,103
18.5589332,68
18.6839332,68
18.8089332,68
18.9339332,68
19.0589332,68
19.1839332,68
19.3089332,68
19.4339332,68
19.5589332,68
19.6839332,68
19.8089332,68
19.9339332,68
20.0589332,68
20.1839332,68
20.3089332,68
20.4339332,68
20.5589332,68
20.6839332,68
20.8089332,68
20.9339332,68
21.0589332,68
21.1839332,68
21.3089332,68
21.4339332,68
21.5589332,68
21.6839332,68
21.8089332,68
21.9339332,68
22.0589332,68
22.1839332,68
22.3089332,68
22.4339332,68
22.5589332,68
22.6839332,93
22.8089332,93
22.9339332,93
23.0589332,93
23.1839332,93
23.3089332,93
23.4339332,93
23.5589332,93
23.6839332,93
23.8089332,93
23.9339332,93
24.0589332,93
24.1839332,93
24.3089332,93
24.4339332,93
24.5589332,93
24.6839332,93
24.8089332,93
24.9339332,93
25.0589332,93
25.1839332,93
25.3089332,93
25.4339332,93
25.5589332,93
25.6839332,93
25.8089332,93
25.9339332,93
26.0589332,93
26.1839332,93
26.3089332,93
26.4339332,93
26.5589332,93
26.6839332,93
26.8089332,81
26.9339332,81
27.0589332,81
27.1839332,81
27.3089332,81
27.4339332,81
27.5589332,81
27.6839332,81
27.8089332,81
27.9339332,81
28.0589332,81
28.1839332,81
28.3089332,81
28.4339332,81
28.5589332,81
28.6839332,81
28.8089332,81
28.9339332,81
29.0589332,81
29.1839332,81
29.3089332,81
29.4339332,81
29.5589332,81
29.6839332,81
29.8089332,49
29.9339332,49
30.0589332,49
30.1839332,49
30.3089332,49
30.4339332,89
30.5589332,89
30.6839332,89
30.8089332,89
30.9339332,89
31.0589332,89
31.1839332,89
31.3089332,89
31.4339332,89
31.5589332,89
31.6839332,89
31.8089332,87
31.9339332,87
32.0589332,87
32.1839332,87
32.3089332,87
32.4339332,87
32.5589332,87
32.6839332,87
32.8089332,87
32.9339332,87
33.0589332,87
33.1839332,87
33.3089332,87
33.4339332,87
33.5589332,87
33.6839332,87
33.8089332,87
33.9339332,87
34.0589332,87
34.1839332,87
34.3089332,87
34.4339332,87
34.5589332,87
34.6839332,87
34.8089332,87
34.9339332,87
35.0589332,87
35.1839332,87
35.3089332,87
35.4339332,87
35.5589332,81
35.6839332,81
35.8089332,81
35.9339332,81
36.0589332,81
36.1839332,101
36.3089332,101
36.4339332,101
36.5589332,101
36.6839332,101
36.8089332,101
36.9339332,101
37.0589332,101
37.1839332,101
