Time(s),Value(℃)
0.0912853,32.689998626709
0.1069103,32.689998626709
0.1225353,32.689998626709
0.1381603,32.689998626709
0.1537853,32.689998626709
0.1694103,32.689998626709
0.1850353,32.7000007629395
0.2006603,32.7000007629395
0.2162853,32.7000007629395
0.2319103,32.7099990844727
0.2475353,32.7099990844727
0.2631603,32.7099990844727
0.2787853,32.7099990844727
0.2944103,32.7200012207031
0.3100353,32.7200012207031
0.3256603,32.7200012207031
0.3412853,32.7200012207031
0.3569103,32.7200012207031
0.3725353,32.7299995422363
0.3881603,32.7299995422363
0.4037853,32.7299995422363
0.4194103,32.7400016784668
0.4350353,32.7400016784668
0.4506603,32.7400016784668
0.4662853,32.75
0.4819103,32.75
0.4975353,32.75
0.5131603,32.75
0.5287853,32.75
0.5444103,32.75
0.5600353,32.75
0.5756603,32.75
0.5912853,32.75
0.6069103,32.75
0.6225353,32.75
0.6381603,32.75
0.6537853,32.75
0.6694103,32.75
0.6850353,32.75
0.7006603,32.75
0.7162853,32.75
0.7319103,32.75
0.7475353,32.7599983215332
0.7631603,32.7599983215332
0.7787853,32.7599983215332
0.7944103,32.7700004577637
0.8100353,32.7700004577637
0.8256603,32.7700004577637
0.8412853,32.7700004577637
0.8569103,32.7799987792969
0.8725353,32.7799987792969
0.8881603,32.7799987792969
0.9037853,32.7799987792969
0.9194103,32.7799987792969
0.9350353,32.7799987792969
0.9506603,32.7799987792969
0.9662853,32.7799987792969
0.9819103,32.7799987792969
0.9975353,32.7799987792969
1.0131603,32.7799987792969
1.0287853,32.7799987792969
1.0444103,32.7799987792969
1.0600353,32.7799987792969
1.0756603,32.7799987792969
1.0912853,32.7799987792969
1.1069103,32.7799987792969
1.1225353,32.7799987792969
1.1381603,32.7799987792969
1.1537853,32.7700004577637
1.1694103,32.7700004577637
1.1850353,32.7700004577637
1.2006603,32.7700004577637
1.2162853,32.7700004577637
1.2319103,32.7599983215332
1.2475353,32.7599983215332
1.2631603,32.7599983215332
1.2787853,32.7599983215332
1.2944103,32.7599983215332
1.3100353,32.7599983215332
1.3256603,32.7599983215332
1.3412853,32.7599983215332
1.3569103,32.7599983215332
1.3725353,32.7599983215332
1.3881603,32.7599983215332
1.4037853,32.7599983215332
1.4194103,32.75
1.4350353,32.75
1.4506603,32.75
1.4662853,32.75
1.4819103,32.75
1.4975353,32.75
1.5131603,32.75
1.5287853,32.75
1.5444103,32.75
1.5600353,32.75
1.5756603,32.75
1.5912853,32.75
1.6069103,32.75
1.6225353,32.75
1.6381603,32.75
1.6537853,32.75
1.6694103,32.75
1.6850353,32.7400016784668
1.7006603,32.7400016784668
1.7162853,32.7400016784668
1.7319103,32.7299995422363
1.7475353,32.7299995422363
1.7631603,32.7299995422363
1.7787853,32.7299995422363
1.7944103,32.7299995422363
1.8100353,32.7299995422363
1.8256603,32.7299995422363
1.8412853,32.7299995422363
1.8569103,32.7299995422363
1.8725353,32.7299995422363
1.8881603,32.7400016784668
1.9037853,32.7400016784668
1.9194103,32.7400016784668
1.9350353,32.7400016784668
1.9506603,32.7400016784668
1.9662853,32.7400016784668
1.9819103,32.7400016784668
1.9975353,32.7400016784668
2.0131603,32.7400016784668
2.0287853,32.7400016784668
2.0444103,32.7299995422363
2.0600353,32.7299995422363
2.0756603,32.7299995422363
2.0912853,32.7299995422363
2.1069103,32.7400016784668
2.1225353,32.7400016784668
2.1381603,32.7400016784668
2.1537853,32.7400016784668
2.1694103,32.7400016784668
2.1850353,32.7400016784668
2.2006603,32.7400016784668
2.2162853,32.7400016784668
2.2319103,32.7400016784668
2.2475353,32.7299995422363
2.2631603,32.7299995422363
2.2787853,32.7299995422363
2.2944103,32.7299995422363
2.3100353,32.7299995422363
2.3256603,32.7299995422363
2.3412853,32.7299995422363
2.3569103,32.7299995422363
2.3725353,32.7299995422363
2.3881603,32.7299995422363
2.4037853,32.7299995422363
2.4194103,32.7299995422363
2.4350353,32.7299995422363
2.4506603,32.7299995422363
2.4662853,32.7400016784668
2.4819103,32.7400016784668
2.4975353,32.7400016784668
2.5131603,32.7400016784668
2.5287853,32.7400016784668
2.5444103,32.7400016784668
2.5600353,32.7400016784668
2.5756603,32.7400016784668
2.5912853,32.75
2.6069103,32.75
2.6225353,32.75
2.6381603,32.75
2.6537853,32.7599983215332
2.6694103,32.7599983215332
2.6850353,32.7599983215332
2.7006603,32.7599983215332
2.7162853,32.7599983215332
2.7319103,32.7700004577637
2.7475353,32.7700004577637
2.7631603,32.7599983215332
2.7787853,32.7599983215332
2.7944103,32.7599983215332
2.8100353,32.7599983215332
2.8256603,32.75
2.8412853,32.75
2.8569103,32.75
2.8725353,32.75
2.8881603,32.75
2.9037853,32.75
2.9194103,32.75
2.9350353,32.7599983215332
2.9506603,32.7599983215332
2.9662853,32.7599983215332
2.9819103,32.7599983215332
2.9975353,32.7599983215332
3.0131603,32.7599983215332
