Time(s),Value(bpm)
34.2162853,0
34.3412853,0
34.4662853,0
34.5912853,0
34.7162853,0
34.8412853,0
34.9662853,0
35.0912853,0
35.2162853,0
35.3412853,0
35.4662853,0
35.5912853,0
35.7162853,0
35.8412853,0
35.9662853,0
36.0912853,0
36.2162853,0
36.3412853,0
36.4662853,0
36.5912853,0
36.7162853,0
36.8412853,0
36.9662853,0
37.0912853,0
37.2162853,0
37.3412853,0
37.4662853,102
37.5912853,102
37.7162853,102
37.8412853,102
37.9662853,102
38.0912853,102
38.2162853,102
38.3412853,102
38.4662853,102
38.5912853,102
38.7162853,102
38.8412853,101
38.9662853,101
39.0912853,101
39.2162853,101
39.3412853,101
39.4662853,101
39.5912853,101
39.7162853,101
39.8412853,101
39.9662853,101
40.0912853,101
40.2162853,101
40.3412853,101
40.4662853,101
40.5912853,101
40.7162853,101
40.8412853,101
40.9662853,99
41.0912853,99
41.2162853,99
41.3412853,99
41.4662853,99
41.5912853,99
41.7162853,99
41.8412853,99
41.9662853,97
42.0912853,97
42.2162853,97
42.3412853,97
42.4662853,97
42.5912853,97
42.7162853,97
42.8412853,97
42.9662853,97
43.0912853,97
43.2162853,97
43.3412853,97
43.4662853,97
43.5912853,97
43.7162853,97
43.8412853,97
43.9662853,95
44.0912853,95
44.2162853,95
44.3412853,95
44.4662853,95
44.5912853,95
44.7162853,95
44.8412853,95
44.9662853,95
45.0912853,95
45.2162853,95
45.3412853,95
45.4662853,95
45.5912853,95
45.7162853,95
45.8412853,95
45.9662853,95
46.0912853,95
46.2162853,95
46.3412853,95
46.4662853,95
46.5912853,95
46.7162853,95
46.8412853,95
46.9662853,95
47.0912853,95
47.2162853,95
47.3412853,95
47.4662853,95
47.5912853,0
47.7162853,0
47.8412853,0
47.9662853,0
48.0912853,0
48.2162853,0
48.3412853,87
48.4662853,87
48.5912853,87
48.7162853,87
48.8412853,87
48.9662853,87
49.0912853,87
49.2162853,87
49.3412853,87
49.4662853,87
49.5912853,87
49.7162853,87
49.8412853,87
49.9662853,87
50.0912853,87
50.2162853,87
50.3412853,87
50.4662853,87
50.5912853,87
50.7162853,87
50.8412853,87
50.9662853,81
51.0912853,81
51.2162853,81
51.3412853,81
51.4662853,81
51.5912853,81
51.7162853,81
51.8412853,81
51.9662853,80
52.0912853,80
52.2162853,80
52.3412853,80
52.4662853,80
52.5912853,80
52.7162853,80
52.8412853,80
52.9662853,80
53.0912853,81
53.2162853,81
53.3412853,81
53.4662853,81
53.5912853,81
53.7162853,81
53.8412853,81
53.9662853,81
54.0912853,81
54.2162853,81
54.3412853,81
54.4662853,81
54.5912853,81
54.7162853,81
54.8412853,81
54.9662853,81
55.0912853,82
55.2162853,82
55.3412853,82
55.4662853,82
55.5912853,82
55.7162853,82
55.8412853,82
55.9662853,82
56.0912853,83
56.2162853,83
56.3412853,83
56.4662853,83
56.5912853,83
56.7162853,83
56.8412853,83
56.9662853,83
57.0912853,84
57.2162853,84
57.3412853,84
57.4662853,84
57.5912853,84
57.7162853,84
57.8412853,84
57.9662853,84
58.0912853,85
58.2162853,85
58.3412853,85
58.4662853,85
58.5912853,0
58.7162853,0
58.8412853,0
58.9662853,0
59.0912853,0
59.2162853,0
59.3412853,104
59.4662853,104
59.5912853,104
59.7162853,104
59.8412853,104
59.9662853,104
60.0912853,104
60.2162853,104
60.3412853,104
60.4662853,104
60.5912853,104
60.7162853,104
60.8412853,104
60.9662853,104
61.0912853,102
61.2162853,102
61.3412853,102
61.4662853,102
61.5912853,102
61.7162853,102
61.8412853,102
61.9662853,102
62.0912853,102
62.2162853,102
62.3412853,102
62.4662853,102
62.5912853,102
62.7162853,102
62.8412853,102
62.9662853,102
63.0912853,103
63.2162853,103
63.3412853,103
63.4662853,103
63.5912853,103
63.7162853,103
63.8412853,103
63.9662853,103
64.0912853,104
64.2162853,104
64.3412853,104
64.4662853,104
64.5912853,104
64.7162853,104
64.8412853,104
64.9662853,104
65.0912853,104
65.2162853,105
65.3412853,105
65.4662853,105
65.5912853,105
65.7162853,105
65.8412853,105
65.9662853,105
66.0912853,105
66.2162853,105
66.3412853,105
66.4662853,105
66.5912853,105
66.7162853,105
66.8412853,105
66.9662853,105
67.0912853,105
67.2162853,105
67.3412853,105
67.4662853,105
67.5912853,105
67.7162853,105
67.8412853,105
67.9662853,105
68.0912853,0
68.2162853,0
68.3412853,0
68.4662853,0
68.5912853,0
68.7162853,0
68.8412853,0
68.9662853,0
69.0912853,0
69.2162853,0
69.3412853,0
69.4662853,0
69.5912853,0
69.7162853,0
69.8412853,0
69.9662853,0
70.0912853,0
70.2162853,0
70.3412853,0
70.4662853,0
70.5912853,0
70.7162853,0
70.8412853,0
70.9662853,0
71.0912853,0
71.2162853,0
71.3412853,0
71.4662853,0
71.5912853,0
71.7162853,0
71.8412853,0
71.9662853,0
72.0912853,0
72.2162853,0
72.3412853,0
72.4662853,0
72.5912853,0
72.7162853,0
72.8412853,0
72.9662853,0
73.0912853,0
73.2162853,0
73.3412853,0
73.4662853,0
73.5912853,0
73.7162853,0
73.8412853,0
73.9662853,0
74.0912853,0
74.2162853,0
74.3412853,0
74.4662853,0
74.5912853,0
74.7162853,0
74.8412853,0
74.9662853,0
75.0912853,0
75.2162853,0
75.3412853,0
75.4662853,0
75.5912853,0
75.7162853,0
75.8412853,0
75.9662853,0
76.0912853,0
76.2162853,0
76.3412853,0
76.4662853,0
76.5912853,0
76.7162853,0
76.8412853,0
76.9662853,0
77.0912853,0
77.2162853,0
77.3412853,0
77.4662853,0
77.5912853,0
77.7162853,0
77.8412853,0
77.9662853,0
78.0912853,0
78.2162853,0
78.3412853,0
78.4662853,0
78.5912853,0
