Time(s),Value(μS)
0.0282347,3.55399990081787
0.0438597,3.55399990081787
0.0594847,3.55399990081787
0.0751097,3.55399990081787
0.0907347,3.55399990081787
0.1063597,3.55399990081787
0.1219847,3.55399990081787
0.1376097,3.5550000667572
0.1532347,3.5550000667572
0.1688597,3.55599999427795
0.1844847,3.55599999427795
0.2001097,3.55699992179871
0.2157347,3.55699992179871
0.2313597,3.55900001525879
0.2469847,3.55999994277954
0.2626097,3.55999994277954
0.2782347,3.56100010871887
0.2938597,3.56100010871887
0.3094847,3.56100010871887
0.3251097,3.55999994277954
0.3407347,3.56100010871887
0.3563597,3.56100010871887
0.3719847,3.56200003623962
0.3876097,3.56299996376038
0.4032347,3.56399989128113
0.4188597,3.56500005722046
0.4344847,3.56500005722046
0.4501097,3.56500005722046
0.4657347,3.56500005722046
0.4813597,3.56500005722046
0.4969847,3.56599998474121
0.5126097,3.56800007820129
0.5282347,3.56900000572205
0.5438597,3.5699999332428
0.5594847,3.5699999332428
0.5751097,3.56900000572205
0.5907347,3.56900000572205
0.6063597,3.56699991226196
0.6219847,3.56699991226196
0.6376097,3.56699991226196
0.6532347,3.56699991226196
0.6688597,3.56800007820129
0.6844847,3.56900000572205
0.7001097,3.57100009918213
0.7157347,3.57200002670288
0.7313597,3.57200002670288
0.7469847,3.57200002670288
0.7626097,3.57299995422363
0.7782347,3.57200002670288
0.7938597,3.57299995422363
0.8094847,3.57299995422363
0.8251097,3.57299995422363
0.8407347,3.57299995422363
0.8563597,3.57299995422363
0.8719847,3.57299995422363
0.8876097,3.57299995422363
0.9032347,3.57299995422363
0.9188597,3.57200002670288
0.9344847,3.57299995422363
0.9501097,3.57299995422363
0.9657347,3.57299995422363
0.9813597,3.57399988174438
0.9969847,3.57399988174438
1.0126097,3.57500004768372
1.0282347,3.57500004768372
1.0438597,3.57500004768372
1.0594847,3.57500004768372
1.0751097,3.57500004768372
1.0907347,3.57399988174438
1.1063597,3.57399988174438
1.1219847,3.57399988174438
1.1376097,3.57399988174438
1.1532347,3.57299995422363
1.1688597,3.57399988174438
1.1844847,3.57399988174438
1.2001097,3.57399988174438
1.2157347,3.57399988174438
1.2313597,3.57399988174438
1.2469847,3.57399988174438
1.2626097,3.57299995422363
1.2782347,3.57200002670288
1.2938597,3.57200002670288
1.3094847,3.57200002670288
1.3251097,3.57200002670288
1.3407347,3.57200002670288
1.3563597,3.57200002670288
1.3719847,3.57299995422363
1.3876097,3.57399988174438
1.4032347,3.57399988174438
1.4188597,3.57399988174438
1.4344847,3.57299995422363
1.4501097,3.57200002670288
1.4657347,3.57200002670288
1.4813597,3.57200002670288
1.4969847,3.57100009918213
1.5126097,3.57100009918213
1.5282347,3.57100009918213
1.5438597,3.5699999332428
1.5594847,3.56900000572205
1.5751097,3.56800007820129
1.5907347,3.56800007820129
1.6063597,3.56800007820129
1.6219847,3.56800007820129
1.6376097,3.56800007820129
1.6532347,3.56900000572205
1.6688597,3.5699999332428
1.6844847,3.57100009918213
1.7001097,3.57100009918213
1.7157347,3.57200002670288
1.7313597,3.57200002670288
1.7469847,3.57100009918213
1.7626097,3.57100009918213
1.7782347,3.57100009918213
1.7938597,3.57100009918213
1.8094847,3.57100009918213
1.8251097,3.57200002670288
1.8407347,3.57299995422363
1.8563597,3.57299995422363
1.8719847,3.57200002670288
1.8876097,3.57100009918213
1.9032347,3.5699999332428
1.9188597,3.56900000572205
1.9344847,3.56800007820129
1.9501097,3.56699991226196
1.9657347,3.56699991226196
1.9813597,3.56699991226196
1.9969847,3.56800007820129
2.0126097,3.56800007820129
2.0282347,3.56900000572205
2.0438597,3.56900000572205
2.0594847,3.56800007820129
2.0751097,3.56900000572205
2.0907347,3.56800007820129
2.1063597,3.56900000572205
2.1219847,3.56900000572205
2.1376097,3.56900000572205
2.1532347,3.5699999332428
2.1688597,3.5699999332428
2.1844847,3.5699999332428
2.2001097,3.5699999332428
2.2157347,3.56900000572205
2.2313597,3.56900000572205
2.2469847,3.56900000572205
2.2626097,3.56800007820129
2.2782347,3.56900000572205
2.2938597,3.56900000572205
2.3094847,3.56900000572205
2.3251097,3.5699999332428
2.3407347,3.5699999332428
2.3563597,3.57100009918213
2.3719847,3.57100009918213
2.3876097,3.57100009918213
2.4032347,3.57100009918213
2.4188597,3.57100009918213
2.4344847,3.57100009918213
2.4501097,3.57100009918213
2.4657347,3.57100009918213
2.4813597,3.57100009918213
2.4969847,3.5699999332428
2.5126097,3.5699999332428
2.5282347,3.56900000572205
2.5438597,3.56800007820129
2.5594847,3.56699991226196
2.5751097,3.56699991226196
2.5907347,3.56699991226196
2.6063597,3.56699991226196
2.6219847,3.56699991226196
2.6376097,3.56699991226196
2.6532347,3.56699991226196
2.6688597,3.56599998474121
2.6844847,3.56599998474121
2.7001097,3.56500005722046
2.7157347,3.56500005722046
2.7313597,3.56399989128113
2.7469847,3.56399989128113
2.7626097,3.56399989128113
2.7782347,3.56399989128113
2.7938597,3.56399989128113
2.8094847,3.56500005722046
2.8251097,3.56500005722046
2.8407347,3.56599998474121
2.8563597,3.56599998474121
2.8719847,3.56599998474121
2.8876097,3.56599998474121
2.9032347,3.56599998474121
2.9188597,3.56599998474121
2.9344847,3.56699991226196
2.9501097,3.56699991226196
2.9657347,3.56800007820129
2.9813597,3.56800007820129
2.9969847,3.56800007820129
3.0126097,3.56800007820129
3.0282347,3.56800007820129
3.0438597,3.56800007820129
3.0594847,3.56699991226196
3.0751097,3.56699991226196
3.0907347,3.56699991226196
3.1063597,3.56699991226196
3.1219847,3.56699991226196
3.1376097,3.56900000572205
3.1532347,3.56900000572205
3.1688597,3.5699999332428
3.1844847,3.57100009918213
3.2001097,3.57100009918213
3.2157347,3.57100009918213
3.2313597,3.57100009918213
3.2469847,3.57100009918213
3.2626097,3.5699999332428
3.2782347,3.5699999332428
3.2938597,3.5699999332428
3.3094847,3.57100009918213
3.3251097,3.5699999332428
3.3407347,3.5699999332428
3.3563597,3.5699999332428
3.3719847,3.5699999332428
3.3876097,3.5699999332428
3.4032347,3.56900000572205
3.4188597,3.56900000572205
3.4344847,3.56900000572205
3.4501097,3.56900000572205
3.4657347,3.56900000572205
3.4813597,3.5699999332428
3.4969847,3.56900000572205
3.5126097,3.56900000572205
3.5282347,3.56900000572205
3.5438597,3.56800007820129
3.5594847,3.56800007820129
3.5751097,3.56699991226196
3.5907347,3.56699991226196
3.6063597,3.56699991226196
3.6219847,3.56800007820129
3.6376097,3.56800007820129
3.6532347,3.56800007820129
3.6688597,3.56800007820129
3.6844847,3.56800007820129
3.7001097,3.56800007820129
3.7157347,3.56699991226196
3.7313597,3.56699991226196
3.7469847,3.56699991226196
3.7626097,3.56800007820129
3.7782347,3.56699991226196
3.7938597,3.56800007820129
3.8094847,3.56800007820129
3.8251097,3.56800007820129
3.8407347,3.56699991226196
3.8563597,3.56699991226196
3.8719847,3.56599998474121
3.8876097,3.56599998474121
3.9032347,3.56500005722046
3.9188597,3.56500005722046
3.9344847,3.56500005722046
3.9501097,3.56500005722046
3.9657347,3.56500005722046
3.9813597,3.56500005722046
3.9969847,3.56500005722046
4.0126097,3.56500005722046
4.0282347,3.56500005722046
4.0438597,3.56500005722046
4.0594847,3.56399989128113
4.0751097,3.56399989128113
4.0907347,3.56399989128113
4.1063597,3.56399989128113
4.1219847,3.56399989128113
4.1376097,3.56399989128113
4.1532347,3.56399989128113
4.1688597,3.56299996376038
4.1844847,3.56299996376038
4.2001097,3.56299996376038
4.2157347,3.56299996376038
4.2313597,3.56200003623962
4.2469847,3.56299996376038
4.2626097,3.56299996376038
4.2782347,3.56299996376038
