Time(s),Value(℃)
1482.0154789,154.729995727539
1482.0311039,154.729995727539
1482.0467289,154.740005493164
1482.0623539,154.740005493164
1482.0779789,154.75
1482.0936039,154.75
1482.1092289,154.759994506836
1482.1248539,154.759994506836
1482.1404789,154.770004272461
1482.1561039,154.779998779297
1482.1717289,154.779998779297
1482.1873539,154.789993286133
1482.2029789,154.800003051758
1482.2186039,154.809997558594
1482.2342289,154.820007324219
1482.2498539,154.839996337891
1482.2654789,154.850006103516
1482.2811039,154.860000610352
1482.2967289,154.869995117188
1482.3123539,154.880004882813
1482.3279789,154.899993896484
1482.3436039,154.910003662109
1482.3592289,154.919998168945
1482.3748539,154.929992675781
1482.3904789,154.940002441406
1482.4061039,154.949996948242
1482.4217289,154.949996948242
1482.4373539,154.960006713867
1482.4529789,154.970001220703
1482.4686039,154.979995727539
1482.4842289,154.990005493164
1482.4998539,154.990005493164
1482.5154789,155.0
1482.5311039,155.009994506836
1482.5467289,155.020004272461
1482.5623539,155.029998779297
1482.5779789,155.029998779297
1482.5936039,155.039993286133
1482.6092289,155.050003051758
1482.6248539,155.059997558594
1482.6404789,155.070007324219
1482.6561039,155.070007324219
1482.6717289,155.080001831055
1482.6873539,155.089996337891
1482.7029789,155.100006103516
1482.7186039,155.110000610352
1482.7342289,155.110000610352
1482.7498539,155.119995117188
1482.7654789,155.130004882813
1482.7811039,155.139999389648
1482.7967289,155.149993896484
1482.8123539,155.160003662109
1482.8279789,155.169998168945
1482.8436039,155.179992675781
1482.8592289,155.190002441406
1482.8748539,155.199996948242
1482.8904789,155.210006713867
1482.9061039,155.220001220703
1482.9217289,155.229995727539
1482.9373539,155.240005493164
1482.9529789,155.25
1482.9686039,155.25
1482.9842289,155.259994506836
1482.9998539,155.270004272461
1483.0154789,155.270004272461
1483.0311039,155.279998779297
1483.0467289,155.279998779297
1483.0623539,155.289993286133
1483.0779789,155.289993286133
1483.0936039,155.300003051758
1483.1092289,155.300003051758
1483.1248539,155.309997558594
1483.1404789,155.309997558594
1483.1561039,155.320007324219
1483.1717289,155.320007324219
1483.1873539,155.320007324219
1483.2029789,155.330001831055
1483.2186039,155.330001831055
1483.2342289,155.339996337891
1483.2498539,155.339996337891
1483.2654789,155.339996337891
1483.2811039,155.350006103516
1483.2967289,155.350006103516
1483.3123539,155.360000610352
1483.3279789,155.360000610352
1483.3436039,155.369995117188
1483.3592289,155.369995117188
1483.3748539,155.380004882813
1483.3904789,155.380004882813
1483.4061039,155.389999389648
1483.4217289,155.389999389648
1483.4373539,155.389999389648
1483.4529789,155.399993896484
1483.4686039,155.399993896484
1483.4842289,155.399993896484
1483.4998539,155.399993896484
1483.5154789,155.399993896484
1483.5311039,155.399993896484
1483.5467289,155.399993896484
1483.5623539,155.410003662109
1483.5779789,155.410003662109
1483.5936039,155.410003662109
1483.6092289,155.410003662109
1483.6248539,155.410003662109
1483.6404789,155.410003662109
1483.6561039,155.399993896484
1483.6717289,155.399993896484
1483.6873539,155.399993896484
1483.7029789,155.399993896484
1483.7186039,155.399993896484
1483.7342289,155.399993896484
1483.7498539,155.389999389648
1483.7654789,155.389999389648
1483.7811039,155.389999389648
1483.7967289,155.389999389648
1483.8123539,155.389999389648
1483.8279789,155.389999389648
1483.8436039,155.389999389648
1483.8592289,155.380004882813
1483.8748539,155.380004882813
1483.8904789,155.380004882813
1483.9061039,155.369995117188
1483.9217289,155.360000610352
1483.9373539,155.339996337891
1483.9529789,155.320007324219
1483.9686039,155.289993286133
1483.9842289,155.259994506836
1483.9998539,155.220001220703
1484.0154789,155.179992675781
1484.0311039,155.139999389648
1484.0467289,155.089996337891
1484.0623539,155.039993286133
1484.0779789,155.0
1484.0936039,154.949996948242
1484.1092289,154.910003662109
1484.1248539,154.869995117188
1484.1404789,154.830001831055
1484.1561039,154.789993286133
1484.1717289,154.75
1484.1873539,154.710006713867
1484.2029789,154.679992675781
1484.2186039,154.639999389648
1484.2342289,154.610000610352
1484.2498539,154.580001831055
1484.2654789,154.539993286133
1484.2811039,154.509994506836
1484.2967289,154.479995727539
1484.3123539,154.449996948242
1484.3279789,154.419998168945
1484.3436039,154.399993896484
1484.3592289,154.369995117188
1484.3748539,154.339996337891
1484.3904789,154.320007324219
1484.4061039,154.289993286133
1484.4217289,154.270004272461
1484.4373539,154.25
1484.4529789,154.220001220703
1484.4686039,154.199996948242
1484.4842289,154.179992675781
1484.4998539,154.149993896484
1484.5154789,154.130004882813
1484.5311039,154.110000610352
1484.5467289,154.089996337891
1484.5623539,154.070007324219
1484.5779789,154.050003051758
1484.5936039,154.029998779297
1484.6092289,154.009994506836
1484.6248539,153.990005493164
1484.6404789,153.970001220703
1484.6561039,153.960006713867
1484.6717289,153.940002441406
1484.6873539,153.919998168945
