Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;
0.290079;-0.0469018;0.0791049;-90.6818;-5.24229;19.9459;0.0775624;0.226333;-5.24973;95.2842;-5.24972;126.979;-9.5947;-14.0913;-23.7655;-7.74783;
0.300082;-0.0450777;0.0771126;-90.6258;-5.24185;19.9442;0.0773036;0.235244;-5.2497;95.2276;-5.2497;126.923;-9.58356;-14.097;-23.7238;-7.7476;
0.310085;-0.0420142;0.0757917;-90.5711;-5.24141;19.9426;0.076983;0.24397;-5.24967;95.1709;-5.24967;126.867;-9.57243;-14.1027;-23.6821;-7.74737;
0.320087;-0.0413592;0.0748375;-90.5168;-5.24096;19.9412;0.0766253;0.252627;-5.24964;95.1142;-5.24964;126.81;-9.56102;-14.1076;-23.6404;-7.74714;
0.33009;-0.0434862;0.0742447;-90.4615;-5.2405;19.9397;0.0762336;0.261454;-5.24962;95.0575;-5.24961;126.754;-9.54879;-14.1101;-23.5988;-7.74691;
0.340093;-0.0464965;0.0740302;-90.4054;-5.24003;19.9381;0.0758217;0.270422;-5.24959;95.0007;-5.24958;126.698;-9.53656;-14.1126;-23.5571;-7.74668;
0.350096;-0.0494143;0.0741792;-90.3502;-5.23955;19.9364;0.0754169;0.279224;-5.24955;94.9436;-5.24954;126.641;-9.52433;-14.1151;-23.5153;-7.74644;
0.360098;-0.0505977;0.074504;-90.2951;-5.23907;19.9346;0.0750216;0.288019;-5.24952;94.8864;-5.24951;126.585;-9.5121;-14.1176;-23.4736;-7.7462;
0.370101;-0.052345;0.0749538;-90.2389;-5.23857;19.9328;0.0746317;0.296995;-5.24948;94.8293;-5.24947;126.528;-9.4998;-14.1197;-23.4319;-7.74596;
0.380104;-0.0560026;0.0756129;-90.1835;-5.23807;19.9309;0.0742675;0.30584;-5.24945;94.7721;-5.24944;126.472;-9.48731;-14.1207;-23.3901;-7.74573;
0.390106;-0.0587435;0.0764531;-90.1279;-5.23757;19.9288;0.0739331;0.314709;-5.24941;94.7149;-5.2494;126.415;-9.47482;-14.1217;-23.3485;-7.74549;
0.400109;-0.0603966;0.0773988;-90.0727;-5.23705;19.9267;0.0736327;0.32353;-5.24937;94.6576;-5.24936;126.358;-9.46233;-14.1227;-23.307;-7.74524;
0.410112;-0.0610079;0.0784041;-90.0169;-5.23653;19.9245;0.0733642;0.332432;-5.24933;94.6003;-5.24932;126.302;-9.44984;-14.1237;-23.2655;-7.745;
0.420115;-0.0607963;0.0794057;-89.9613;-5.23599;19.9223;0.0731319;0.341311;-5.24929;94.543;-5.24928;126.245;-9.43735;-14.1245;-23.224;-7.74476;
0.430117;-0.0599914;0.0803464;-89.9061;-5.23546;19.9202;0.072941;0.350115;-5.24924;94.4857;-5.24924;126.189;-9.42485;-14.1248;-23.1825;-7.74452;
0.44012;-0.0589203;0.0812083;-89.8513;-5.23492;19.9181;0.0727833;0.358859;-5.2492;94.4281;-5.24919;126.132;-9.41235;-14.1251;-23.1409;-7.74428;
0.450123;-0.057719;0.0819955;-89.7959;-5.23436;19.916;0.0726531;0.367704;-5.24915;94.3701;-5.24914;126.075;-9.39984;-14.1254;-23.0993;-7.74404;
