Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;
0;-0.0953874;-0.232308;-92.2673;-5.25;19.9998;-0.00126357;-8.74292e-006;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.0100002;-0.557967;-0.163943;-92.2312;-5.25001;19.9891;-0.00544045;-0.000364921;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.0200005;-0.817783;-0.0992767;-92.1757;-5.25003;19.9632;-0.00966477;-0.001503;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.0300007;-0.858041;-0.0712828;-92.1202;-5.25006;19.9326;-0.0119639;-0.00331767;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.0400009;-0.864457;-0.0591605;-92.0647;-5.2501;19.9015;-0.0134826;-0.00554855;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.0500012;-0.868622;-0.0549456;-92.0095;-5.25015;19.8703;-0.0146313;-0.00807113;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.0600014;-0.885398;-0.0553979;-91.9541;-5.2502;19.8386;-0.0156539;-0.0108207;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.0700016;-0.904951;-0.0578943;-91.899;-5.25026;19.8063;-0.0166854;-0.0137128;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.0800019;-0.917429;-0.0611589;-91.8436;-5.25032;19.7732;-0.0177977;-0.0167244;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.0900021;-0.92439;-0.0636297;-91.7885;-5.25039;19.7398;-0.0189867;-0.0198042;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.100002;-0.928791;-0.0646938;-91.7365;-5.25046;19.7081;-0.0201575;-0.022769;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.110003;-0.932787;-0.0643541;-91.6817;-5.25055;19.6744;-0.0213967;-0.0259319;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.120003;-0.936713;-0.0628228;-91.6268;-5.25063;19.6405;-0.0226001;-0.0291216;-5.24998;96.1412;-5.24998;127.833;-9.655;-13.9023;-24.1942;-7.75;
0.130003;-0.940394;-0.0604038;-91.5722;-5.25073;19.6066;-0.0237289;-0.0323138;-5.24998;96.1412;-5.24998;127.833;-9.6483;-13.9125;-24.1942;-7.75;
0.140003;-0.943236;-0.057359;-91.5175;-5.25083;19.5725;-0.02476;-0.0355273;-5.24997;96.1199;-5.24997;127.812;-9.64143;-13.923;-24.1783;-7.74992;
0.150003;-0.944498;-0.0539908;-91.4632;-5.25094;19.5384;-0.025665;-0.0387309;-5.24996;96.0643;-5.24996;127.757;-9.63457;-13.9334;-24.1368;-7.74972;
0.160004;-0.94466;-0.0504312;-91.4089;-5.25105;19.5042;-0.0264522;-0.0419387;-5.24995;96.0087;-5.24995;127.701;-9.62771;-13.9439;-24.0953;-7.74951;
0.170004;-0.944882;-0.0467774;-91.3546;-5.25116;19.47;-0.0271174;-0.0451505;-5.24994;95.9531;-5.24994;127.646;-9.62084;-13.9543;-24.0538;-7.74931;
0.180004;-0.945403;-0.0432326;-91.3002;-5.25128;19.4357;-0.0276517;-0.048369;-5.24993;95.8975;-5.24993;127.59;-9.60981;-13.9601;-24.0124;-7.7491;
0.190004;-0.946013;-0.039901;-91.2453;-5.25141;19.401;-0.0280652;-0.0516275;-5.24992;95.8421;-5.24992;127.535;-9.59872;-13.9659;-23.9711;-7.74889;
0.200005;-0.94689;-0.0369114;-91.1921;-5.25154;19.3672;-0.0283593;-0.0547896;-5.2499;95.7871;-5.2499;127.48;-9.58764;-13.9716;-23.9301;-7.74868;
0.210005;-0.948401;-0.0341563;-91.1381;-5.25167;19.3329;-0.0285606;-0.0580061;-5.24989;95.7321;-5.24989;127.425;-9.57655;-13.9774;-23.8892;-7.74847;
0.220005;-0.950903;-0.0317699;-91.0847;-5.25181;19.2988;-0.0286696;-0.0611857;-5.24987;95.677;-5.24987;127.37;-9.56547;-13.9831;-23.8483;-7.74826;
0.230005;-0.954165;-0.0299866;-91.0377;-5.25193;19.2687;-0.0286985;-0.0639938;-5.24986;95.622;-5.24986;127.315;-9.55328;-13.9858;-23.8074;-7.74805;
0.240006;-0.959213;-0.0282733;-90.9818;-5.25208;19.2326;-0.0286694;-0.067332;-5.24984;95.5666;-5.24984;127.26;-9.54103;-13.9884;-23.7662;-7.74784;
0.250006;-0.965058;-0.0269629;-90.9257;-5.25223;19.1962;-0.0285895;-0.0706888;-5.24982;95.5103;-5.24982;127.204;-9.52879;-13.991;-23.7246;-7.74761;
0.260006;-0.970712;-0.0260797;-90.872;-5.25238;19.1611;-0.0284771;-0.0739014;-5.2498;95.4541;-5.24979;127.148;-9.51654;-13.9936;-23.683;-7.74738;
0.270006;-0.975095;-0.0255108;-90.8187;-5.25253;19.1259;-0.0283407;-0.0770943;-5.24977;95.3978;-5.24977;127.092;-9.50429;-13.9961;-23.6413;-7.74715;
0.280007;-0.979525;-0.0250307;-90.7655;-5.25268;19.0906;-0.0281903;-0.0802815;-5.24975;95.3416;-5.24975;127.036;-9.49183;-13.9972;-23.5997;-7.74692;
0.290007;-0.983649;-0.024593;-90.7167;-5.25282;19.058;-0.0280406;-0.083208;-5.24973;95.2848;-5.24972;126.98;-9.47938;-13.9982;-23.5578;-7.74668;
0.300007;-0.988808;-0.0240992;-90.6595;-5.25299;19.0197;-0.0278517;-0.0866308;-5.2497;95.2269;-5.2497;126.922;-9.46693;-13.9992;-23.5152;-7.74644;
0.310007;-0.995303;-0.0237257;-90.6066;-5.25315;18.9839;-0.0276639;-0.089798;-5.24967;95.169;-5.24967;126.865;-9.45448;-14.0003;-23.4726;-7.74619;
0.320007;-1.003;-0.0234635;-90.5537;-5.25331;18.9478;-0.027469;-0.092964;-5.24964;95.1111;-5.24964;126.807;-9.44203;-14.0013;-23.43;-7.74595;
0.330008;-1.011;-0.0233206;-90.5009;-5.25347;18.9114;-0.0272712;-0.0961257;-5.24961;95.0532;-5.24961;126.75;-9.42953;-14.0017;-23.3874;-7.74571;
0.340008;-1.0187;-0.0232955;-90.4495;-5.25363;18.8756;-0.0270795;-0.0992009;-5.24958;94.9958;-5.24958;126.693;-9.41703;-14.0021;-23.3453;-7.74546;
0.350008;-1.0256;-0.0233643;-90.4007;-5.25379;18.8413;-0.0269023;-0.102117;-5.24955;94.9389;-5.24954;126.637;-9.40453;-14.0025;-23.3038;-7.74522;
0.360008;-1.03108;-0.0234661;-90.3502;-5.25395;18.8056;-0.0267258;-0.105136;-5.24951;94.882;-5.24951;126.58;-9.39202;-14.0028;-23.2623;-7.74498;
0.370009;-1.03857;-0.023612;-90.2933;-5.25414;18.765;-0.0265356;-0.108535;-5.24948;94.8252;-5.24947;126.524;-9.37952;-14.0032;-23.2207;-7.74474;
0.380009;-1.04584;-0.0236806;-90.2398;-5.25432;18.7264;-0.026365;-0.111733;-5.24944;94.7683;-5.24944;126.468;-9.36702;-14.0033;-23.1792;-7.7445;
0.390009;-1.05227;-0.023853;-90.1881;-5.25449;18.6888;-0.0262091;-0.11482;-5.24941;94.7116;-5.2494;126.412;-9.35451;-14.0034;-23.1379;-7.74426;
0.400009;-1.05808;-0.0241043;-90.1368;-5.25467;18.6512;-0.0260658;-0.117884;-5.24937;94.6553;-5.24936;126.356;-9.342;-14.0036;-23.0972;-7.74403;
0.41001;-1.06348;-0.0243993;-90.0837;-5.25486;18.6121;-0.0259317;-0.12105;-5.24933;94.599;-5.24932;126.301;-9.3295;-14.0037;-23.0564;-7.74379;
0.42001;-1.06808;-0.0246742;-90.0339;-5.25503;18.5751;-0.0258191;-0.124024;-5.24929;94.5428;-5.24928;126.245;-9.31699;-14.0038;-23.0157;-7.74356;
0.43001;-1.07239;-0.0249235;-89.9832;-5.25521;18.5372;-0.0257196;-0.127046;-5.24924;94.4865;-5.24924;126.19;-9.30451;-14.0038;-22.9749;-7.74332;
0.44001;-1.07649;-0.0251307;-89.9331;-5.25539;18.4995;-0.0256329;-0.130031;-5.2492;94.4292;-5.24919;126.133;-9.29203;-14.0038;-22.9335;-7.74308;
