Time(s),Value(μS)
829.0137919,0.112999998033047
829.0294169,0.112999998033047
829.0450419,0.112999998033047
829.0606669,0.112999998033047
829.0762919,0.114000000059605
829.0919169,0.114000000059605
829.1075419,0.114000000059605
829.1231669,0.114000000059605
829.1387919,0.112999998033047
829.1544169,0.112999998033047
829.1700419,0.112999998033047
829.1856669,0.114000000059605
829.2012919,0.114000000059605
829.2169169,0.114000000059605
829.2325419,0.114000000059605
829.2481669,0.112999998033047
829.2637919,0.112999998033047
829.2794169,0.112999998033047
829.2950419,0.114000000059605
829.3106669,0.112999998033047
829.3262919,0.114000000059605
829.3419169,0.114000000059605
829.3575419,0.114000000059605
829.3731669,0.114000000059605
829.3887919,0.114000000059605
829.4044169,0.114000000059605
829.4200419,0.112999998033047
829.4356669,0.114000000059605
829.4512919,0.114000000059605
829.4669169,0.114000000059605
829.4825419,0.114000000059605
829.4981669,0.114000000059605
829.5137919,0.114000000059605
829.5294169,0.114000000059605
829.5450419,0.114000000059605
829.5606669,0.112999998033047
829.5762919,0.114000000059605
829.5919169,0.114000000059605
829.6075419,0.114000000059605
829.6231669,0.114000000059605
829.6387919,0.114000000059605
829.6544169,0.114000000059605
829.6700419,0.114000000059605
829.6856669,0.114000000059605
829.7012919,0.114000000059605
829.7169169,0.114000000059605
829.7325419,0.114000000059605
829.7481669,0.114000000059605
829.7637919,0.114000000059605
829.7794169,0.114000000059605
829.7950419,0.114000000059605
829.8106669,0.114000000059605
829.8262919,0.114000000059605
829.8419169,0.114000000059605
829.8575419,0.114000000059605
829.8731669,0.114000000059605
829.8887919,0.115000002086163
829.9044169,0.115000002086163
829.9200419,0.114000000059605
829.9356669,0.114000000059605
829.9512919,0.114000000059605
829.9669169,0.114000000059605
829.9825419,0.114000000059605
829.9981669,0.115000002086163
830.0137919,0.114000000059605
830.0294169,0.114000000059605
830.0450419,0.114000000059605
830.0606669,0.114000000059605
830.0762919,0.114000000059605
830.0919169,0.114000000059605
830.1075419,0.114000000059605
830.1231669,0.114000000059605
830.1387919,0.114000000059605
830.1544169,0.114000000059605
830.1700419,0.114000000059605
830.1856669,0.114000000059605
830.2012919,0.114000000059605
830.2169169,0.114000000059605
830.2325419,0.112999998033047
830.2481669,0.114000000059605
830.2637919,0.112999998033047
830.2794169,0.112999998033047
830.2950419,0.112999998033047
