Time(s),Value(mm)
828.8,4.7565468184802
828.82,4.77796835802039
828.84,4.79938989756059
828.86,4.82081143710078
828.88,4.84223297664097
828.9,4.86365451618117
828.92,4.88507605572136
828.94,4.90649759526155
828.96,4.92791913480175
828.98,4.94934067434194
829,4.97076221388213
829.02,4.99218375342233
829.04,5.01360529296252
829.06,5.03502683250272
829.08,5.05644837204291
829.1,5.0778699115831
829.12,5.0992914511233
829.14,5.12071299066349
829.16,5.14213453020368
829.18,5.16355606974388
829.2,5.18497760928407
829.22,5.20639914882426
829.24,5.22782068836446
829.26,5.24924222790465
829.28,5.27066376744484
829.3,5.29208530698504
829.32,5.31350684652523
829.34,5.33492838606542
829.36,5.35634992560562
829.38,5.37777146514581
829.4,5.399193004686
829.42,5.4206145442262
829.44,5.44203608376639
829.46,5.46345762330659
829.48,5.48487916284678
829.5,5.50630070238697
829.52,5.52772224192717
829.54,5.54914378146736
829.56,5.57056532100755
829.58,5.59198686054775
829.6,5.61340840008794
829.62,5.63482993962813
829.64,5.65625147916833
829.66,5.67767301870852
829.68,5.69909455824871
829.7,5.72051609778891
829.72,5.72051609778891
829.74,5.7083018246819
829.76,5.6746660120347
829.78,5.64103019938749
829.8,5.60739438674029
829.82,5.57375857409309
829.84,5.54012276144589
829.86,5.50648694879868
829.88,5.47285113615148
829.9,5.43921532350428
829.92,5.40557951085708
829.94,5.37194369820987
829.96,5.33830788556267
829.98,5.30467207291547
830,5.27103626026827
830.02,5.23740044762106
830.04,5.20376463497386
830.06,5.17012882232666
830.08,5.13649300967946
830.1,5.10285719703226
830.12,5.06922138438505
830.14,5.03558557173785
830.16,5.00194975909065
830.18,4.96831394644345
830.2,4.93467813379624
830.22,4.90104232114904
830.24,4.86740650850184
830.26,4.83377069585464
830.28,4.80013488320743
830.3,4.76649907056023
830.32,4.73286325791303
830.34,4.69922744526583
830.36,4.66559163261862
830.38,4.63195581997142
830.4,4.59832000732422
830.42,4.02586465132864
830.44,4.02586465132864
830.46,4.03057346845928
830.48,4.03528228558992
830.5,4.03999110272056
830.52,4.0446999198512
830.54,4.04940873698184
830.56,4.05411755411248
830.58,4.05882637124313
830.6,4.06353518837377
830.62,4.06824400550441
830.64,4.07295282263505
830.66,4.07766163976569
830.68,4.08237045689633
830.7,4.08707927402697
830.72,4.09178809115761
830.74,4.09649690828825
830.76,4.10120572541889
830.78,4.10591454254953
830.8,4.11062335968018
830.82,4.11247262954712
830.84,4.11432189941406
830.86,4.11617116928101
830.88,4.11802043914795
830.9,4.11986970901489
830.92,4.11986970901489
830.94,4.07950115203857
830.96,4.03714816768964
830.98,3.99479518334071
831,3.95244219899178
831.02,3.91008921464284
831.04,3.86773623029391
831.06,3.82538324594498
831.08,3.78303026159604
831.1,3.74067727724711
831.12,3.69832429289818
831.14,3.65597130854925
831.16,3.61361832420031
831.18,3.57126533985138
831.2,3.52891235550245
