Time(s),Value(bpm)
290.0126751,96
290.1376751,93
290.2626751,93
290.3876751,93
290.5126751,93
290.6376751,93
290.7626751,96
290.8876751,96
291.0126751,96
291.1376751,96
291.2626751,96
291.3876751,96
291.5126751,96
291.6376751,96
291.7626751,96
291.8876751,96
292.0126751,96
292.1376751,96
292.2626751,96
292.3876751,96
292.5126751,96
292.6376751,93
292.7626751,93
292.8876751,93
293.0126751,93
293.1376751,93
293.2626751,96
293.3876751,96
293.5126751,96
293.6376751,96
293.7626751,96
293.8876751,96
294.0126751,93
294.1376751,93
294.2626751,93
294.3876751,93
294.5126751,93
294.6376751,93
294.7626751,93
294.8876751,93
295.0126751,93
295.1376751,93
295.2626751,93
295.3876751,93
295.5126751,93
295.6376751,93
295.7626751,93
295.8876751,93
296.0126751,89
296.1376751,89
296.2626751,89
296.3876751,89
296.5126751,89
296.6376751,89
296.7626751,89
296.8876751,89
297.0126751,89
297.1376751,89
297.2626751,91
297.3876751,91
297.5126751,91
297.6376751,91
297.7626751,91
297.8876751,93
298.0126751,93
298.1376751,93
298.2626751,93
298.3876751,93
298.5126751,93
298.6376751,93
298.7626751,93
298.8876751,93
299.0126751,93
299.1376751,93
299.2626751,93
299.3876751,93
299.5126751,93
299.6376751,93
299.7626751,93
299.8876751,93
300.0126751,93
300.1376751,93
300.2626751,93
300.3876751,96
300.5126751,96
300.6376751,96
300.7626751,96
300.8876751,98
301.0126751,98
301.1376751,98
301.2626751,98
301.3876751,98
301.5126751,98
301.6376751,96
301.7626751,96
301.8876751,96
302.0126751,96
302.1376751,96
302.2626751,96
302.3876751,96
302.5126751,96
302.6376751,96
302.7626751,96
302.8876751,93
303.0126751,93
303.1376751,93
303.2626751,93
303.3876751,93
303.5126751,91
303.6376751,91
303.7626751,91
303.8876751,91
304.0126751,91
304.1376751,91
304.2626751,91
304.3876751,91
304.5126751,91
304.6376751,91
304.7626751,91
304.8876751,91
305.0126751,91
305.1376751,91
305.2626751,91
305.3876751,91
305.5126751,91
305.6376751,91
305.7626751,91
305.8876751,91
306.0126751,91
306.1376751,91
306.2626751,91
306.3876751,91
306.5126751,91
306.6376751,91
306.7626751,96
306.8876751,96
307.0126751,96
307.1376751,96
307.2626751,96
307.3876751,96
307.5126751,96
307.6376751,96
307.7626751,96
307.8876751,96
308.0126751,96
308.1376751,96
308.2626751,96
308.3876751,96
308.5126751,96
308.6376751,96
308.7626751,96
308.8876751,96
309.0126751,96
309.1376751,96
309.2626751,96
309.3876751,96
309.5126751,96
309.6376751,96
309.7626751,96
309.8876751,96
310.0126751,96
310.1376751,96
310.2626751,96
310.3876751,98
310.5126751,98
310.6376751,98
310.7626751,98
310.8876751,98
311.0126751,98
311.1376751,98
311.2626751,98
311.3876751,98
311.5126751,101
311.6376751,101
311.7626751,101
311.8876751,101
312.0126751,101
312.1376751,103
312.2626751,103
312.3876751,103
312.5126751,103
312.6376751,103
312.7626751,101
312.8876751,101
313.0126751,101
313.1376751,101
313.2626751,103
313.3876751,103
313.5126751,103
313.6376751,103
313.7626751,103
313.8876751,103
314.0126751,103
314.1376751,103
314.2626751,103
314.3876751,103
314.5126751,103
314.6376751,103
314.7626751,103
314.8876751,103
